landbase,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,0.02,NHF,3,0.0,0.0
1,0.02,NHF,4,0.0,0.0
1,0.02,NHF,5,0.0,0.0
1,0.02,NHF,6,0.0,0.0
1,0.02,NHF,7,30640.0,30640.0
1,0.02,NHF,8,11500.0,11500.0
1,0.02,NHF,9,21480.0,21480.0
1,0.02,NHF,10,0.0,0.0
1,0.02,NHF,11,0.0,0.0
1,0.02,NHF,12,0.0,0.0
1,0.02,NHF,13,30640.0,30640.0
1,0.02,NHF,14,0.0,0.0
1,0.02,NHF,15,11500.0,11500.0
1,0.02,NDY,1,10197.504495872003,10197.504495872003
1,0.02,NDY,2,10197.504495872005,10194.429996982179
1,0.02,NDY,3,10197.504495872008,9915.943258910174
1,0.02,NDY,4,10197.504495872005,9830.526583419844
1,0.02,NDY,5,10197.504495872006,9816.822992275933
1,0.02,NDY,6,10197.504495872006,9479.219698577088
1,0.02,NDY,7,10197.504495872003,9387.998198103192
1,0.02,NDY,8,10197.504495871974,9384.647244172655
1,0.02,NDY,9,10197.504495871975,9380.912607525623
1,0.02,NDY,10,10197.504495871985,9380.912607972157
1,0.02,NDY,11,10197.504495871985,9380.9126091275
1,0.02,NDY,12,10197.504495871985,9380.912606235
1,0.02,NDY,13,10197.504495871985,9341.585518295571
1,0.02,NDY,14,10197.504495871983,9154.24125798112
1,0.02,NDY,15,11531.01401058809,9154.241258067736
1,0.02,-10%,1,15108.304397098338,15108.304397098338
1,0.02,-10%,2,13597.473957388505,13597.473956998583
1,0.02,-10%,3,12237.72656164965,10686.828626058214
1,0.02,-10%,4,11013.953905484686,9618.14576220029
1,0.02,-10%,5,9912.55851493622,8656.33118314202
1,0.02,-10%,6,8921.302663442599,7790.6980646166885
1,0.02,-10%,7,8029.172397098337,8029.172397799999
1,0.02,-10%,8,11975.899814143664,11508.308894596821
1,0.02,-10%,9,10778.309832729301,10357.478006490051
1,0.02,-10%,10,9700.478849456376,9321.730201760001
1,0.02,-10%,11,8730.430964510737,8389.5571853
1,0.02,-10%,12,9406.45445068502,7550.60146652
1,0.02,-10%,13,8465.809005616517,11253.540242873683
1,0.02,-10%,14,9875.054573258103,10128.18621824
1,0.02,-10%,15,14122.759382628803,9761.549928568795
1,0.02,-20%,1,19188.383641252494,19188.383641252494
1,0.02,-20%,2,15350.706913001999,15350.706910951223
1,0.02,-20%,3,12280.565530401605,10473.811462727172
1,0.02,-20%,4,9824.452424321282,8379.04916978837
1,0.02,-20%,5,7859.561939456993,6703.239344395421
1,0.02,-20%,6,6287.649551565622,5362.591468543691
1,0.02,-20%,7,7207.891071510589,7207.89107402
1,0.02,-20%,8,16052.95410252675,15444.565311077778
1,0.02,-20%,9,12842.3632820214,12355.65224498
1,0.02,-20%,10,10273.890625617141,9884.521797942623
1,0.02,-20%,11,8219.112500493688,7907.617443900001
1,0.02,-20%,12,7810.4296631487,6326.09394882
1,0.02,-20%,13,7207.891071510589,7207.89107402
1,0.02,-20%,14,5766.312857208481,11748.690299439999
1,0.02,-20%,15,21766.832272331492,11839.288157133333
1,0.02,+/-10%,1,15108.30439709832,15108.30439709832
1,0.02,+/-10%,2,13597.473957388513,13597.473955696616
1,0.02,+/-10%,3,12237.726561649666,10969.405489643903
1,0.02,+/-10%,4,11013.95390548469,9318.54040156499
1,0.02,+/-10%,5,9912.558514936221,8360.77363233412
1,0.02,+/-10%,6,8921.302663442591,8103.284115971686
1,0.02,+/-10%,7,9042.583413532833,9042.58341188
1,0.02,+/-10%,8,9946.841754886136,9676.002888359999
1,0.02,+/-10%,9,10941.525930374748,9895.401022663158
1,0.02,+/-10%,10,9847.37333733727,8905.8609221
1,0.02,+/-10%,11,8868.684899894826,9685.6026112
1,0.02,+/-10%,12,9755.55338988431,9604.02606
1,0.02,+/-10%,13,9345.295019899258,10650.007281859998
1,0.02,+/-10%,14,10279.824521889186,9904.946670357893
1,0.02,+/-10%,15,11307.806974078112,8553.35312948005
1,0.02,+/-20%,1,18712.615090604122,18712.615090604122
1,0.02,+/-20%,2,14970.092072483283,15059.96742688347
1,0.02,+/-20%,3,11976.073657986637,11239.281534597567
1,0.02,+/-20%,4,9580.858926389305,7011.094666545467
