landbase,discount_rate,flow_policy,max_decrease,max_increase,horizon,max_abs_rel_deviation,mean_abs_rel_deviation,total_projected,total_realized,total_rel_change,occurrence,occurrence_tolerance
1,0.0,NHF,,,15,1.0,0.29571041273849846,171217.782,140577.782,-0.17895337529836708,True,0.05
1,0.0,NDY,0.0,,15,0.6364422816248637,0.14070269907048424,156509.23474093882,128075.51847716286,-0.1816743677192003,True,0.05
1,0.0,-10%,0.1,,15,0.8446743039883238,0.3357782306798766,161079.9605720991,139197.73032233625,-0.13584700525158377,True,0.05
1,0.0,-20%,0.2,,15,1.0,0.37616204672007497,164477.3897271473,138054.72080779515,-0.16064620774432825,True,0.05
1,0.0,+/-10%,0.1,0.1,15,0.3807636924031918,0.10377615082123476,155854.4106299816,140579.35126886284,-0.09800851512238379,True,0.05
1,0.0,+/-20%,0.2,0.2,15,0.3357730948941821,0.13331758547006517,159974.87297826912,144467.22298703014,-0.09693803597109611,True,0.05
1,0.02,NHF,,,15,0.0,0.0,171217.782,171217.782,0.0,False,0.05
1,0.02,NDY,0.0,,15,0.20612001254511844,0.06956213666904619,154296.076952796,143380.8109335178,-0.07074234312916153,True,0.05
1,0.02,-10%,0.1,,15,0.30880717683432024,0.0961277925143321,161875.68927012684,151757.9065322635,-0.06250341100311542,True,0.05
1,0.02,-20%,0.2,,15,0.5091952626001783,0.12636093691563724,167938.99744636883,155379.9933489921,-0.07478313130568393,True,0.05
1,0.02,+/-10%,0.1,0.1,15,0.24358868619815852,0.08178021912934148,160126.80924177667,151375.56599021074,-0.05465195549080331,True,0.05
1,0.02,+/-20%,0.2,0.2,15,0.2682185678327583,0.12478010539961246,161579.50605278008,152681.0933625259,-0.055071419065655,True,0.05
1,0.04,NHF,,,15,0.0,0.0,171217.782,171217.782,0.0,False,0.05
1,0.04,NDY,0.0,,15,0.14039441083096774,0.0743563309325666,153674.26659922992,142247.61197615808,-0.07435633093256681,True,0.05
1,0.04,-10%,0.1,,15,0.28318877091839967,0.07014238785348706,159989.48360096844,152142.9148032749,-0.04904427854310565,True,0.05
1,0.04,-20%,0.2,,15,0.37700277566828133,0.10749041682731637,166355.16920019742,153955.57586430898,-0.07453686828911428,True,0.05
1,0.04,+/-10%,0.1,0.1,15,0.26161125869393054,0.07470698086731234,155860.95668898025,151333.0383651559,-0.029051010721432916,True,0.05
1,0.04,+/-20%,0.2,0.2,15,0.3950224428785237,0.11288278521223286,151606.52348098287,153835.85523954788,0.014704721850868437,True,0.05
1,0.06,NHF,,,15,0.0,0.0,171217.782,171217.782,0.0,False,0.05
1,0.06,NDY,0.0,,15,0.19554855266111454,0.07349964932001314,152500.60076264248,141291.86008549694,-0.07349964932001309,True,0.05
1,0.06,-10%,0.1,,15,0.283188770697381,0.10564692707483564,159229.1747609344,148498.2157601897,-0.06739317098676231,True,0.05
1,0.06,-20%,0.2,,15,0.37700277566828116,0.10232730601028918,163790.69503867827,151431.11079741977,-0.07545962387142845,True,0.05
1,0.06,+/-10%,0.1,0.1,15,0.1818181818125414,0.06238161214991593,155444.57426493245,153371.4529649804,-0.013336723457576164,True,0.05
1,0.06,+/-20%,0.2,0.2,15,0.39533358743229907,0.07399577878063714,151585.79036332786,155250.53347361047,0.024176033264719482,True,0.05
2,0.0,NHF,,,15,1.0,0.29571041273849846,214022.2275,175722.2275,-0.17895337529836708,True,0.05
2,0.0,NDY,0.0,,15,0.5643156793214542,0.12016746105488929,187717.36848721007,159948.95299824182,-0.14792672469654947,True,0.05
2,0.0,-10%,0.1,,15,0.8446743047131591,0.3775884231293783,201349.95071512385,172925.59924454262,-0.14116890205151766,True,0.05
2,0.0,-20%,0.2,,15,1.0,0.2688367317640166,205596.73715893418,173712.8963017556,-0.1550795080591729,True,0.05
2,0.0,+/-10%,0.1,0.1,15,0.4131393069416713,0.1068383768408492,194818.01328747705,175222.05622514331,-0.10058596087527892,True,0.05
2,0.0,+/-20%,0.2,0.2,15,0.39330795956232584,0.13154201842632085,199968.59122283634,179743.3102759986,-0.1011422885121972,True,0.05
2,0.02,NHF,,,15,0.0,0.0,214022.2275,214022.2275,0.0,False,0.05
2,0.02,NDY,0.0,,15,0.04937478131029775,0.02937868083626698,182445.4238923723,177085.41801380078,-0.029378680836267334,False,0.05
2,0.02,-10%,0.1,,15,0.35679555147468917,0.06889138470169537,193276.82384429342,188164.98747543214,-0.026448263517510288,True,0.05
2,0.02,-20%,0.2,,15,0.4985208637108661,0.09764877820312418,202678.72592594032,193687.06299588055,-0.04436411808383561,True,0.05
2,0.02,+/-10%,0.1,0.1,15,0.11872381247411169,0.03258182189530698,189392.28654876383,188566.68074688467,-0.004359236677078679,False,0.05
2,0.02,+/-20%,0.2,0.2,15,0.22620320409748748,0.04871579480091746,193584.18919882935,191632.89745570894,-0.010079809467891252,False,0.05
2,0.04,NHF,,,15,0.0,0.0,214022.2275,214022.2275,0.0,False,0.05
2,0.04,NDY,0.0,,15,0.041042377009311154,0.027732792267461902,181935.56947675959,176889.9881223982,-0.027732792267462017,False,0.05
2,0.04,-10%,0.1,,15,0.14940358605250517,0.009960239285262453,189628.64672453655,187302.5095956145,-0.01226680234817631,False,0.05
2,0.04,-20%,0.2,,15,0.3385563117103178,0.0562120290065382,197860.32259626998,189040.80439465898,-0.04457446589535313,True,0.05
2,0.04,+/-10%,0.1,0.1,15,0.007639960697881901,0.00203732295977742,186773.53427818595,186401.30828112963,-0.0019929268806463396,False,0.05
2,0.04,+/-20%,0.2,0.2,15,0.23718960266296202,0.06848595923321563,183844.75599682244,184591.96386871528,0.004064341502924095,True,0.05
2,0.06,NHF,,,15,0.0,0.0,214022.2275,214022.2275,0.0,False,0.05
2,0.06,NDY,0.0,,15,0.04542999449965696,0.02757327104084932,181073.2159674154,176080.43510540138,-0.027573271040331426,False,0.05
2,0.06,-10%,0.1,,15,0.24601863210141509,0.016401242235729824,188663.5760503729,184806.1797886141,-0.020445898156456505,False,0.05
2,0.06,-20%,0.2,,15,0.44444444452166126,0.02962962985543738,195542.52058786218,184446.54137124887,-0.05674458518410889,False,0.05
2,0.06,+/-10%,0.1,0.1,15,0.18690581151406038,0.04434277758519244,187832.15290192878,184940.7291661822,-0.015393657002144168,False,0.05
2,0.06,+/-20%,0.2,0.2,15,0.24736850339226588,0.07435235549989054,182463.97049543064,184801.56193937414,0.01281124946254548,True,0.05
3,0.0,NHF,,,15,1.0,0.3522775559148431,160417.61599999998,139955.116,-0.12755768668199116,True,0.05
3,0.0,NDY,0.0,,15,0.7783748712162407,0.129169745373266,145157.86272400786,122525.61748727888,-0.155914704253811,True,0.05
3,0.0,-10%,0.1,,15,0.6789142038155993,0.2765313519808411,148816.89980289235,127627.5151361945,-0.14238560737902176,True,0.05
3,0.0,-20%,0.2,,15,0.7486921907213306,0.3908940117783144,154333.87445917167,128961.20842199876,-0.16440114735721958,True,0.05
3,0.0,+/-10%,0.1,0.1,15,0.36093852612572264,0.1568598203471752,141454.60158368587,133431.29223886452,-0.056720030702392406,True,0.05
3,0.0,+/-20%,0.2,0.2,15,0.4021828698750046,0.16143306210094818,144677.16956462536,135694.3601921367,-0.06208864466674661,True,0.05
3,0.02,NHF,,,15,0.0,0.0,155275.11599999998,155275.11599999998,0.0,False,0.05
3,0.02,NDY,0.0,,15,0.5687699476769668,0.07923911503350392,150451.91621694155,132016.85830071007,-0.12253122711743576,True,0.05
3,0.02,-10%,0.1,,15,0.5746281279851876,0.0835211761227086,151461.77579692804,135279.97589743315,-0.10683751602906459,True,0.05
3,0.02,-20%,0.2,,15,0.11875090788730805,0.02748111355074816,145682.08268329984,144341.02744913785,-0.009205354628800363,False,0.05
3,0.02,+/-10%,0.1,0.1,15,0.22833302668514927,0.06448209936423545,141262.13468219648,141656.13433688492,0.0027891384734828896,True,0.05
3,0.02,+/-20%,0.2,0.2,15,0.23656514282295624,0.059321915132757766,145462.97353858867,145607.55779836545,0.0009939591929104992,True,0.05
3,0.04,NHF,,,15,0.0,0.0,155275.11599999998,155275.11599999998,0.0,False,0.05
3,0.04,NDY,0.0,,15,0.48003373377304,0.09987660490824814,147085.39605272727,128932.63869291301,-0.12341644953865338,True,0.05
3,0.04,-10%,0.1,,15,0.5388619462176018,0.13814105895283404,152974.55250682737,136768.3813494086,-0.10594030766454104,True,0.05
3,0.04,-20%,0.2,,15,0.24172036712420888,0.11661445896133028,153708.14600215468,144772.01288229047,-0.0581370171476725,True,0.05
3,0.04,+/-10%,0.1,0.1,15,0.4358661571986256,0.1340749461128897,132889.40525954473,141798.0857766724,0.06703830527142657,True,0.05
3,0.04,+/-20%,0.2,0.2,15,0.42333542275650493,0.1896985238822701,132248.24556596315,145697.1506935752,0.10169439352527347,True,0.05
3,0.06,NHF,,,15,0.0,0.0,155275.11599999998,155275.11599999998,0.0,False,0.05
3,0.06,NDY,0.0,,15,0.3196735479645598,0.09753957522638292,140319.51820273892,128557.54808963252,-0.08382276581161197,True,0.05
3,0.06,-10%,0.1,,15,0.5261370217644753,0.12543098883949014,152974.55250682737,133914.32185371008,-0.12459739440824069,True,0.05
3,0.06,-20%,0.2,,15,0.40958173263361636,0.13778509953202342,154136.57943794635,143249.9649970692,-0.07062966156751885,True,0.05
3,0.06,+/-10%,0.1,0.1,15,0.4970602346219274,0.17869486475016907,129931.16012147945,140682.36430918507,0.08274538746251286,True,0.05
3,0.06,+/-20%,0.2,0.2,15,0.594608743715083,0.2847090355118853,127107.00076590037,148671.66294534985,0.16965754875426758,True,0.05
4,0.0,NHF,,,15,1.0,0.35940054490766304,207924.945,177549.945,-0.14608636784778276,True,0.05
4,0.0,NDY,0.0,,15,0.6920352391328275,0.07893784316711201,187027.6838988443,159628.65345293208,-0.14649719161753208,True,0.05
4,0.0,-10%,0.1,,15,0.7260335213866418,0.30035473294062487,192737.82809401746,169846.93062588622,-0.11876701991767318,True,0.05
4,0.0,-20%,0.2,,15,0.7371310912834592,0.3344824604010769,196262.30898323562,172353.10350578182,-0.12182270554809421,True,0.05
4,0.0,+/-10%,0.1,0.1,15,0.3887218306462141,0.1564128401841728,184681.95704996938,171725.15259133693,-0.0701573920138107,True,0.05
4,0.0,+/-20%,0.2,0.2,15,0.4351702142251749,0.20733004058093632,189070.12719429343,171770.16135315073,-0.09150026023605937,True,0.05
4,0.02,NHF,,,15,0.0,0.0,204359.945,204359.945,0.0,False,0.05
4,0.02,NDY,0.0,,15,0.5891411561102905,0.04558957193545956,186965.3489124408,171626.2582707909,-0.08204242513853985,False,0.05
4,0.02,-10%,0.1,,15,0.5624685012689448,0.0641799356895019,191430.23476584637,179084.41056213633,-0.06449255113128398,True,0.05
4,0.02,-20%,0.2,,15,0.23152996975169826,0.017162535153647,191381.4232292402,187144.4063200071,-0.022139123211336525,False,0.05
4,0.02,+/-10%,0.1,0.1,15,0.07638962475418352,0.019982366642977947,173281.85588836976,174036.91218355356,0.004357388090708261,False,0.05
4,0.02,+/-20%,0.2,0.2,15,0.21514411817177928,0.05499879446791123,184829.6365839204,182589.15885557013,-0.012121853236090696,True,0.05
4,0.04,NHF,,,15,0.0,0.0,204359.945,204359.945,0.0,False,0.05
4,0.04,NDY,0.0,,15,0.5072253951076113,0.03659843800589071,183311.1648802717,171174.2185637069,-0.06620953134246874,False,0.05
4,0.04,-10%,0.1,,15,0.4956330001108189,0.033042200148912224,189041.3015003121,175313.5052868717,-0.07261797345072636,False,0.05
4,0.04,-20%,0.2,,15,0.1526334259707703,0.010175561811409687,189029.73150733582,186269.07894261944,-0.014604329925788659,False,0.05
4,0.04,+/-10%,0.1,0.1,15,0.25990921860901595,0.04632221036516275,167260.48172025286,171521.82682495326,0.025477297810415207,False,0.05
4,0.04,+/-20%,0.2,0.2,15,0.2640562789578799,0.09554517490114839,170678.8072142785,177141.2010046718,0.03786289519987157,True,0.05
4,0.06,NHF,,,15,0.0,0.0,204359.945,204359.945,0.0,False,0.05
4,0.06,NDY,0.0,,15,0.1835474379851439,0.01762512576956963,174075.75603014993,170611.4993044048,-0.01990085698748952,False,0.05
4,0.06,-10%,0.1,,15,0.547225975825799,0.036481731961653684,189582.69283625446,172186.35543563115,-0.09176121058502315,False,0.05
4,0.06,-20%,0.2,,15,0.46415316472331913,0.030943544526025275,193675.49303988548,179174.4064874116,-0.07487311029840797,False,0.05
4,0.06,+/-10%,0.1,0.1,15,0.4363384500507106,0.1364230718653517,160748.72344385268,172138.12876165868,0.07085222870702398,True,0.05
4,0.06,+/-20%,0.2,0.2,15,0.4705383530733678,0.20936440288867147,161726.0462644574,177806.2579638639,0.09942870719235813,True,0.05
5,0.0,NHF,,,15,1.0,0.3472446446691889,162235.11599989166,137393.68742899835,-0.15311992362313157,True,0.05
5,0.0,NDY,0.0,,15,0.7863841035746547,0.1286099859273378,148022.87401916424,126447.52903701781,-0.1457568306595176,True,0.05
5,0.0,-10%,0.1,,15,0.7843301001383539,0.29662498143417754,152773.1280907935,134119.95019347017,-0.12209724400116816,True,0.05
5,0.0,-20%,0.2,,15,0.939008649630927,0.3898230537016861,155552.70196365373,135572.45975181286,-0.12844677051324657,True,0.05
5,0.0,+/-10%,0.1,0.1,15,0.24843815351153586,0.1383517410018871,146232.91822556395,136849.74446306904,-0.06416594756059903,True,0.05
5,0.0,+/-20%,0.2,0.2,15,0.3943517376280042,0.16976599595636596,149440.71313761876,137887.75436510635,-0.0773079740450207,True,0.05
5,0.02,NHF,,,15,0.0,0.0,155275.116,155275.116,0.0,False,0.05
5,0.02,NDY,0.0,,15,0.6470893483602692,0.13344968139791366,165768.50227231675,135006.17790312122,-0.18557400198175536,True,0.05
5,0.02,-10%,0.1,,15,0.29317751203080145,0.04021368968192302,150613.31922659275,143413.29573643918,-0.0478046930186923,False,0.05
5,0.02,-20%,0.2,,15,0.155615408705131,0.02019166993294959,149738.7169925109,147264.33537502436,-0.01652466153834008,False,0.05
5,0.02,+/-10%,0.1,0.1,15,0.1754027109189649,0.07911855972384572,146083.23334810982,142023.78382920666,-0.0277886067131994,True,0.05
5,0.02,+/-20%,0.2,0.2,15,0.2610140702570993,0.08727430645092558,154213.48681755952,146255.86630685464,-0.05160132667332167,True,0.05
5,0.04,NHF,,,15,0.0,0.0,155275.116,155275.116,0.0,False,0.05
5,0.04,NDY,0.0,,15,0.5351595513734059,0.13938726142360575,162035.99788294337,134515.09128488513,-0.16984439851408606,True,0.05
5,0.04,-10%,0.1,,15,0.2989029469870633,0.10310075164836546,161325.4584604367,145844.12360985548,-0.09596337117726428,True,0.05
5,0.04,-20%,0.2,,15,0.40190371300592864,0.06887152877393325,156968.8430507338,150238.2491338349,-0.04287853427526056,True,0.05
5,0.04,+/-10%,0.1,0.1,15,0.19132857678656773,0.0530118308212789,151061.4802627656,148414.65126152927,-0.01752153491831453,True,0.05
5,0.04,+/-20%,0.2,0.2,15,0.34063843313229936,0.0833382422948421,155695.77729095772,153541.83771184162,-0.013834283861731854,True,0.05
5,0.06,NHF,,,15,0.0,0.0,155275.116,155275.116,0.0,False,0.05
5,0.06,NDY,0.0,,15,0.5467195042904057,0.13145217701116246,162793.19759833708,135762.44050205447,-0.16604352942913586,True,0.05
5,0.06,-10%,0.1,,15,0.6272761751602627,0.15191367064074432,167963.58116251472,143663.6394965698,-0.14467387214394573,True,0.05
5,0.06,-20%,0.2,,15,0.5513266356149537,0.12724473340220657,166910.7400721016,149205.5493440652,-0.10607580267386127,True,0.05
5,0.06,+/-10%,0.1,0.1,15,0.3994298963978618,0.1444075487505321,152092.34084836245,151635.97174906504,-0.0030006054003233447,True,0.05
5,0.06,+/-20%,0.2,0.2,15,0.39457355012267337,0.16164649536826767,156471.1143247766,159777.90821048123,0.021133574078349916,True,0.05
6,0.0,NHF,,,15,1.0,0.42037383860591604,198738.6511917733,171196.9845253083,-0.13858233665825076,True,0.05
6,0.0,NDY,0.0,,15,0.7894158296093342,0.12245048668399111,181727.70285678303,152500.44543829616,-0.1608299502994348,True,0.05
6,0.0,-10%,0.1,,15,0.7274935752900237,0.24741403597209063,186428.0769790908,167530.31701865912,-0.10136756365593583,True,0.05
6,0.0,-20%,0.2,,15,0.6976903993186891,0.353371962652118,190336.4776185382,166039.45023247364,-0.12765302631458436,True,0.05
6,0.0,+/-10%,0.1,0.1,15,0.32988778092558396,0.13924963252197248,177435.606099557,164875.89333619154,-0.0707846245714535,True,0.05
6,0.0,+/-20%,0.2,0.2,15,0.43396634679384677,0.171364975344061,181722.99681334978,167242.58217478797,-0.0796839964808353,True,0.05
6,0.02,NHF,,,15,0.0,0.0,191414.2464296433,191414.2464296433,0.0,False,0.05
6,0.02,NDY,0.0,,15,0.5892408587966615,0.044757936005592976,180460.10102703318,163559.3901687563,-0.0936534489457319,False,0.05
6,0.02,-10%,0.1,,15,0.585723066630255,0.06336060229581399,185493.57352767797,170145.62585318738,-0.08274112888444889,True,0.05
6,0.02,-20%,0.2,,15,0.23947811946926345,0.051689323298577755,186907.6962780109,181921.67493298065,-0.02667638328607897,True,0.05
6,0.02,+/-10%,0.1,0.1,15,0.33972373844648657,0.09184375051414342,169665.61754822568,168627.8363681432,-0.006116626309319816,True,0.05
6,0.02,+/-20%,0.2,0.2,15,0.31727178811448864,0.06942838614120499,174438.2238174078,174548.8629481417,0.0006342596726375642,True,0.05
6,0.04,NHF,,,15,0.0,0.0,191414.2464296433,191414.2464296433,0.0,False,0.05
6,0.04,NDY,0.0,,15,0.504709632829059,0.04663523668418865,176227.08888363474,162419.32043397715,-0.07835213381283886,False,0.05
6,0.04,-10%,0.1,,15,0.5399581207528555,0.035997208224131085,183973.25628177536,167864.32011619332,-0.08756129282676513,False,0.05
6,0.04,-20%,0.2,,15,0.07414415780544546,0.014828831731595944,185196.53508070516,180919.29040485117,-0.023095705726837956,False,0.05
6,0.04,+/-10%,0.1,0.1,15,0.4346094576526426,0.15263425211492523,165143.11609633002,166202.7368332222,0.006416378483945402,True,0.05
6,0.04,+/-20%,0.2,0.2,15,0.5131480301853333,0.2370730431141365,160234.13072049146,175844.5031460807,0.0974222679986925,True,0.05
6,0.06,NHF,,,15,0.0,0.0,191414.2464296433,191414.2464296433,0.0,False,0.05
6,0.06,NDY,0.0,,15,0.23610067692973163,0.036717088471497794,168502.216395902,161284.7776261674,-0.04283290109832727,False,0.05
6,0.06,-10%,0.1,,15,0.5575245990147315,0.04313280049078909,183973.25628177534,167901.54231512648,-0.08735896886030678,False,0.05
6,0.06,-20%,0.2,,15,0.29004077395187783,0.02631638930796162,187615.2507815464,179772.894813655,-0.041800205128434936,False,0.05
6,0.06,+/-10%,0.1,0.1,15,0.5181267230705071,0.2022411860160906,165247.26200781914,166460.86880152347,0.007344187001699919,True,0.05
6,0.06,+/-20%,0.2,0.2,15,0.6557972908082779,0.3043862635191769,165001.22352178933,179672.73953950443,0.08891761954587957,True,0.05
7,0.0,NHF,,,15,1.0,0.5466077462943737,148747.85714234502,136583.33333333337,-0.08177948941725423,True,0.05
7,0.0,NDY,0.0,,15,0.7566060605866031,0.17534796305795905,145207.96064036372,122456.80058396458,-0.1566798401139101,True,0.05
7,0.0,-10%,0.1,,15,0.9330066376716731,0.41290811931484456,148562.09349322322,119475.06050658436,-0.19579040859413907,True,0.05
