landbase,discount_path,path_family,discount_rate,flow_policy,max_decrease,max_increase,horizon,fd_version,ws3_version,max_abs_rel_deviation,mean_abs_rel_deviation,total_projected,total_realized,total_rel_change,occurrence,occurrence_tolerance
1,linear-4pc-0pc,linear,0.04,NHF,,,15,0.1.0b1,1.1.0a5,1.0,0.11645383825040365,174497.782,171217.782,-0.018796800523229573,True,0.05
1,linear-4pc-0pc,linear,0.04,NDY,0.0,,15,0.1.0b1,1.1.0a5,0.3446725976927907,0.08222884787330027,156238.25919655053,142381.68315774173,-0.08868875082240243,True,0.05
1,linear-4pc-0pc,linear,0.04,-10%,0.1,,15,0.1.0b1,1.1.0a5,0.7006750937539824,0.18693912991040712,166077.50692414586,151937.05903286455,-0.08514366667209068,True,0.05
1,linear-4pc-0pc,linear,0.04,-20%,0.2,,15,0.1.0b1,1.1.0a5,0.5713038353428298,0.16862643067584498,170387.96527816012,154686.17404131577,-0.09215317062570126,True,0.05
1,linear-4pc-0pc,linear,0.04,+/-10%,0.1,0.1,15,0.1.0b1,1.1.0a5,0.40072231779087525,0.1417378570122385,162883.08096245356,151464.0044708704,-0.07010597063924275,True,0.05
1,linear-4pc-0pc,linear,0.04,+/-20%,0.2,0.2,15,0.1.0b1,1.1.0a5,0.5650573533693246,0.1878360679580332,166836.7378097169,158849.32433557368,-0.04787562726893608,True,0.05
1,linear-6pc-0pc,linear,0.06,NHF,,,15,0.1.0b1,1.1.0a5,1.0,0.11645383825040365,174497.782,171217.782,-0.018796800523229573,True,0.05
1,linear-6pc-0pc,linear,0.06,NDY,0.0,,15,0.1.0b1,1.1.0a5,0.20698592101125635,0.07607247842098055,154296.076952796,142450.5517935311,-0.07677139557403526,True,0.05
1,linear-6pc-0pc,linear,0.06,-10%,0.1,,15,0.1.0b1,1.1.0a5,0.49200235972801976,0.121010811154934,162250.20031183463,153603.0844758009,-0.05329494705963095,True,0.05
1,linear-6pc-0pc,linear,0.06,-20%,0.2,,15,0.1.0b1,1.1.0a5,0.43864754114847115,0.13683244503911315,166955.6067846231,153735.80431383586,-0.07918154247937957,True,0.05
1,linear-6pc-0pc,linear,0.06,+/-10%,0.1,0.1,15,0.1.0b1,1.1.0a5,0.4051844443912267,0.11824767129806055,160570.31183798562,153137.00473176513,-0.04629315980727895,True,0.05
1,linear-6pc-0pc,linear,0.06,+/-20%,0.2,0.2,15,0.1.0b1,1.1.0a5,0.542488195363398,0.1437932274349903,164974.32192499662,155250.53345749417,-0.05894122402832633,True,0.05
1,invj-4pc-k1,inverse-j,0.04,NHF,,,15,0.1.0b1,1.1.0a5,1.0,0.2697175458222052,174497.782,171217.782,-0.018796800523229573,True,0.05
1,invj-4pc-k1,inverse-j,0.04,NDY,0.0,,15,0.1.0b1,1.1.0a5,0.6276816862927207,0.12991654294800487,157376.65183051227,130418.80827205097,-0.17129506343478265,True,0.05
1,invj-4pc-k1,inverse-j,0.04,-10%,0.1,,15,0.1.0b1,1.1.0a5,0.7908371974656877,0.21972600632811246,161079.9605720991,145158.0207826409,-0.09884494466542643,True,0.05
1,invj-4pc-k1,inverse-j,0.04,-20%,0.2,,15,0.1.0b1,1.1.0a5,0.7506316316191265,0.1803253497286826,164434.68368789673,152737.23213329067,-0.07113737377211893,True,0.05
1,invj-4pc-k1,inverse-j,0.04,+/-10%,0.1,0.1,15,0.1.0b1,1.1.0a5,0.2986092971702346,0.08932765032879192,155484.34439284055,148065.9494935177,-0.04771152316518655,True,0.05
1,invj-4pc-k1,inverse-j,0.04,+/-20%,0.2,0.2,15,0.1.0b1,1.1.0a5,0.3660508007673374,0.10806688257215415,159953.41541260033,154323.46126593932,-0.03519746128670354,True,0.05
1,invj-4pc-k2,inverse-j,0.04,NHF,,,15,0.1.0b1,1.1.0a5,1.0,0.11645383825040365,174497.782,171217.782,-0.018796800523229573,True,0.05
1,invj-4pc-k2,inverse-j,0.04,NDY,0.0,,15,0.1.0b1,1.1.0a5,0.6070378013696761,0.12617890984732727,157376.65183051227,131228.2005124734,-0.1661520372551806,True,0.05
