landbase,discount_rate,flow_window,anchoring,period,projected_mcf,realized_mcf
1,0.0,2,within-plan,1,9571.608521200546,9571.608521200546
1,0.0,2,within-plan,2,9571.608521200546,9314.362245645438
1,0.0,2,within-plan,3,9571.608521200546,9026.54487354878
1,0.0,2,within-plan,4,9571.60852120055,8115.692664067954
1,0.0,2,within-plan,5,9571.608521200546,8126.90499877486
1,0.0,2,within-plan,6,9571.608521200553,8147.978969003605
1,0.0,2,within-plan,7,9571.608521200547,8242.55490535601
1,0.0,2,within-plan,8,9571.60852120054,8783.351637254644
1,0.0,2,within-plan,9,9571.608521200551,8353.915370380251
1,0.0,2,within-plan,10,9571.608521200546,8606.35941461521
1,0.0,2,within-plan,11,9571.608521200547,8384.56390783082
1,0.0,2,within-plan,12,9571.608521200553,8324.625671478527
1,0.0,2,within-plan,13,9571.60852120055,8533.125667369091
1,0.0,2,within-plan,14,9571.608521200551,8361.439520130743
1,0.0,2,within-plan,15,22506.715444131158,8182.49011463193
1,0.0,2,realized-history,1,9571.608521200546,9571.608521200546
1,0.0,2,realized-history,2,9571.608521200546,9571.608521200546
1,0.0,2,realized-history,3,9571.608521200546,9571.608521200546
1,0.0,2,realized-history,4,9571.60852120055,9571.608521200546
1,0.0,2,realized-history,5,9571.608521200546,9571.608521200546
1,0.0,2,realized-history,6,9571.608521200553,9571.608521200546
1,0.0,2,realized-history,7,9571.608521200547,9571.608517579994
1,0.0,2,realized-history,8,9571.60852120054,9571.608519390269
1,0.0,2,realized-history,9,9571.608521200551,9571.608518485127
1,0.0,2,realized-history,10,9571.608521200546,9571.608745657033
1,0.0,2,realized-history,11,9571.608521200547,8479.338318208811
1,0.0,2,realized-history,12,9571.608521200553,9025.473531932925
1,0.0,2,realized-history,13,9571.60852120055,8752.405925070867
1,0.0,2,realized-history,14,9571.608521200551,8888.939728501897
1,0.0,2,realized-history,15,22506.715444131158,8820.672826786382
1,0.0,3,within-plan,1,9571.60852120055,9571.60852120055
1,0.0,3,within-plan,2,9571.60852120055,9314.362245645434
1,0.0,3,within-plan,3,9571.608521200553,9026.544873548777
1,0.0,3,within-plan,4,9571.608521200544,8115.692664067964
1,0.0,3,within-plan,5,9571.608521200551,8126.904997418738
1,0.0,3,within-plan,6,9571.608521200546,8147.978967515677
1,0.0,3,within-plan,7,9571.608521200546,8242.554903786831
1,0.0,3,within-plan,8,9571.608521200546,8783.351635708757
1,0.0,3,within-plan,9,9571.608521200544,8353.915368063595
1,0.0,3,within-plan,10,9571.608521200544,8606.359412473515
1,0.0,3,within-plan,11,9571.608521200544,8384.563906696998
1,0.0,3,within-plan,12,9571.60852120055,8324.625677669557
1,0.0,3,within-plan,13,9571.608521200538,8533.12566803013
1,0.0,3,within-plan,14,9571.608521200544,8361.439520349573
1,0.0,3,within-plan,15,22506.71544413115,8182.490114986769
1,0.0,3,realized-history,1,9571.60852120055,9571.60852120055
1,0.0,3,realized-history,2,9571.60852120055,9571.60852120055
1,0.0,3,realized-history,3,9571.608521200553,9571.608521200547
1,0.0,3,realized-history,4,9571.608521200544,9571.60852120055
1,0.0,3,realized-history,5,9571.608521200551,9571.60852120055
1,0.0,3,realized-history,6,9571.608521200546,9571.608521200547
1,0.0,3,realized-history,7,9571.608521200546,9571.608517580002
1,0.0,3,realized-history,8,9571.608521200546,9571.608519993697
1,0.0,3,realized-history,9,9571.608521200544,9571.608519645977
1,0.0,3,realized-history,10,9571.608521200544,9571.608599446476
1,0.0,3,realized-history,11,9571.608521200544,8479.33835591455
1,0.0,3,realized-history,12,9571.60852120055,9207.518491669
1,0.0,3,realized-history,13,9571.608521200538,9086.155149010008
1,0.0,3,realized-history,14,9571.608521200544,8924.337332197852
1,0.0,3,realized-history,15,22506.71544413115,9072.670324292283
1,0.02,2,within-plan,1,10197.504495872003,10197.504495872003
1,0.02,2,within-plan,2,10197.504495872001,10194.429996982148
1,0.02,2,within-plan,3,10197.504495872003,9915.943258910183
1,0.02,2,within-plan,4,10197.504495872003,9830.526583419825
1,0.02,2,within-plan,5,10197.504495872003,9816.822992275933
1,0.02,2,within-plan,6,10197.50449587201,9479.219698577088
1,0.02,2,within-plan,7,10197.504495871974,9387.99819810319
1,0.02,2,within-plan,8,10197.50449587199,9384.647244172653
1,0.02,2,within-plan,9,10197.50449587198,9380.912607525623
1,0.02,2,within-plan,10,10197.50449587198,9380.912607972157
1,0.02,2,within-plan,11,10197.504495871985,9380.9126091275
1,0.02,2,within-plan,12,10197.504495871995,9380.912606235
1,0.02,2,within-plan,13,10197.50449587199,9341.585518295573
1,0.02,2,within-plan,14,10197.50449587198,9154.241257981123
1,0.02,2,within-plan,15,11531.014010588104,9154.241258067737
1,0.02,2,realized-history,1,10197.504495872003,10197.504495872003
1,0.02,2,realized-history,2,10197.504495872001,10197.504495872005
1,0.02,2,realized-history,3,10197.504495872003,10197.504495872005
1,0.02,2,realized-history,4,10197.504495872003,10197.504495872006
1,0.02,2,realized-history,5,10197.504495872003,10197.504495872006
1,0.02,2,realized-history,6,10197.50449587201,10197.504495872005
1,0.02,2,realized-history,7,10197.504495871974,10197.504495872006
1,0.02,2,realized-history,8,10197.50449587199,9463.741619444292
1,0.02,2,realized-history,9,10197.50449587198,9830.62305765815
1,0.02,2,realized-history,10,10197.50449587198,9647.182338551222
1,0.02,2,realized-history,11,10197.504495871985,9738.902698104685
1,0.02,2,realized-history,12,10197.504495871995,9693.042518327955
1,0.02,2,realized-history,13,10197.50449587199,9715.97260821632
1,0.02,2,realized-history,14,10197.50449587198,9704.507563272138
1,0.02,2,realized-history,15,11531.014010588104,9710.24008574423
1,0.02,3,within-plan,1,10197.50449587198,10197.50449587198
1,0.02,3,within-plan,2,10197.504495871983,10194.42999698217
1,0.02,3,within-plan,3,10197.504495871985,9915.943258910182
1,0.02,3,within-plan,4,10197.504495871988,9830.526583419858
1,0.02,3,within-plan,5,10197.504495871977,9816.822992275936
1,0.02,3,within-plan,6,10197.504495871986,9479.21969857709
1,0.02,3,within-plan,7,10197.504495872,9387.998198103192
1,0.02,3,within-plan,8,10197.504495871992,9386.8899341133
1,0.02,3,within-plan,9,10197.504495871992,9376.984774329294
1,0.02,3,within-plan,10,10197.504495871997,9376.98477356781
1,0.02,3,within-plan,11,10197.504495871992,9376.98477416625
1,0.02,3,within-plan,12,10197.504495871994,9376.984769112501
1,0.02,3,within-plan,13,10197.504495872,9314.553622603526
1,0.02,3,within-plan,14,10197.504495872,9161.918224559322
1,0.02,3,within-plan,15,11531.014010588126,9161.918224553376
1,0.02,3,realized-history,1,10197.50449587198,10197.50449587198
1,0.02,3,realized-history,2,10197.504495871983,10197.504495871983
1,0.02,3,realized-history,3,10197.504495871985,10197.50449587198
1,0.02,3,realized-history,4,10197.504495871988,10197.50449587198
