landbase,discount_rate,flow_window,anchoring,period,projected_mcf,realized_mcf
1,0.02,3,realized-history,5,10197.504495871977,10197.50449587198
1,0.02,3,realized-history,6,10197.504495871986,10197.50449587198
1,0.02,3,realized-history,7,10197.504495872,10197.50449587198
1,0.02,3,realized-history,8,10197.504495871992,9463.741633152295
1,0.02,3,realized-history,9,10197.504495871992,9952.916874965418
1,0.02,3,realized-history,10,10197.504495871997,9871.387667996565
1,0.02,3,realized-history,11,10197.504495871992,9762.682058704759
1,0.02,3,realized-history,12,10197.504495871994,9862.328867222248
1,0.02,3,realized-history,13,10197.504495872,9832.13286464119
1,0.02,3,realized-history,14,10197.504495872,9819.047930189397
1,0.02,3,realized-history,15,11531.014010588126,9837.836554017611
1,0.04,2,within-plan,1,10244.951106615339,10244.951106615339
1,0.04,2,within-plan,2,10244.951106615343,10197.408427057562
1,0.04,2,within-plan,3,10244.951106615337,10016.200890856513
1,0.04,2,within-plan,4,10244.951106615335,9840.534051852233
1,0.04,2,within-plan,5,10244.951106615335,9839.428304523706
1,0.04,2,within-plan,6,10244.951106615335,9648.501206218009
1,0.04,2,within-plan,7,10244.951106615306,9584.22844972957
1,0.04,2,within-plan,8,10244.951106615332,9495.948048328657
1,0.04,2,within-plan,9,10244.95110661532,9407.998762536288
1,0.04,2,within-plan,10,10244.951106615325,8806.617233785928
1,0.04,2,within-plan,11,10244.951106615323,8806.617232009998
1,0.04,2,within-plan,12,10244.951106615323,8806.617231340002
1,0.04,2,within-plan,13,10244.951106615319,8945.70401434
1,0.04,2,within-plan,14,10244.95110661532,8945.70401434
1,0.04,2,within-plan,15,10244.951106615319,9657.038570856042
1,0.04,2,realized-history,1,10244.951106615339,10244.951106615339
1,0.04,2,realized-history,2,10244.951106615343,10244.951106615339
1,0.04,2,realized-history,3,10244.951106615337,10010.514071603237
1,0.04,2,realized-history,4,10244.951106615335,10127.732589109286
1,0.04,2,realized-history,5,10244.951106615335,10069.123330356262
1,0.04,2,realized-history,6,10244.951106615335,9515.127923941658
1,0.04,2,realized-history,7,10244.951106615306,9792.12562714896
1,0.04,2,realized-history,8,10244.951106615332,9849.239080070125
1,0.04,2,realized-history,9,10244.95110661532,9820.682353609543
1,0.04,2,realized-history,10,10244.951106615325,9834.960716839832
1,0.04,2,realized-history,11,10244.951106615323,9906.231675174331
1,0.04,2,realized-history,12,10244.951106615323,9870.596196007082
1,0.04,2,realized-history,13,10244.951106615319,9888.413935590706
1,0.04,2,realized-history,14,10244.95110661532,9879.505065798894
1,0.04,2,realized-history,15,10244.951106615319,9883.9595006948
1,0.04,3,within-plan,1,10244.951106615332,10244.951106615332
1,0.04,3,within-plan,2,10244.951106615332,10197.408427057577
1,0.04,3,within-plan,3,10244.95110661533,10016.200890856542
1,0.04,3,within-plan,4,10244.951106615332,9840.534051852248
1,0.04,3,within-plan,5,10244.95110661531,9839.428304523713
1,0.04,3,within-plan,6,10244.951106615326,9648.501206218014
1,0.04,3,within-plan,7,10244.951106615334,9584.228449729575
1,0.04,3,within-plan,8,10244.951106615323,9495.948048328652
1,0.04,3,within-plan,9,10244.951106615328,9407.998762536288
1,0.04,3,within-plan,10,10244.95110661532,8806.617233785926
1,0.04,3,within-plan,11,10244.951106615317,8806.617232010001
1,0.04,3,within-plan,12,10244.95110661533,8806.617225480002
1,0.04,3,within-plan,13,10244.951106615332,8945.70401434
1,0.04,3,within-plan,14,10244.951106615332,8945.70401434
1,0.04,3,within-plan,15,10244.951106615328,9662.73908100849
1,0.04,3,realized-history,1,10244.951106615332,10244.951106615332
1,0.04,3,realized-history,2,10244.951106615332,10244.951106615332
1,0.04,3,realized-history,3,10244.95110661533,10010.514071603253
1,0.04,3,realized-history,4,10244.951106615332,10166.805428277972
1,0.04,3,realized-history,5,10244.95110661531,9717.144434340822
1,0.04,3,realized-history,6,10244.951106615326,9964.821311407348
1,0.04,3,realized-history,7,10244.951106615334,9625.325284092101
1,0.04,3,realized-history,8,10244.951106615323,9769.097009946756
1,0.04,3,realized-history,9,10244.951106615328,9786.414535148735
1,0.04,3,realized-history,10,10244.95110661532,9726.945609729197
1,0.04,3,realized-history,11,10244.951106615317,9760.819051608229
1,0.04,3,realized-history,12,10244.95110661533,9758.059732162053
1,0.04,3,realized-history,13,10244.951106615332,9757.063268062753
1,0.04,3,realized-history,14,10244.951106615332,9758.647350611012
1,0.04,3,realized-history,15,10244.951106615328,9757.923450278606
1,0.06,2,within-plan,1,10166.706717509498,10166.706717509498
1,0.06,2,within-plan,2,10166.706717509498,10145.833031715356
1,0.06,2,within-plan,3,10166.706717509498,10033.535241402438
1,0.06,2,within-plan,4,10166.706717509498,9931.94367530849
1,0.06,2,within-plan,5,10166.7067175095,9931.943675470162
1,0.06,2,within-plan,6,10166.706717509502,8617.664525789753
1,0.06,2,within-plan,7,10166.706717509502,8617.6645212481
1,0.06,2,within-plan,8,10166.7067175095,9684.023516305882
1,0.06,2,within-plan,9,10166.7067175095,9673.36003260895
1,0.06,2,within-plan,10,10166.7067175095,9636.366909302884
1,0.06,2,within-plan,11,10166.706717509502,9579.859541322488
1,0.06,2,within-plan,12,10166.7067175095,9419.158347037877
1,0.06,2,within-plan,13,10166.706717509502,8177.786795863629
1,0.06,2,within-plan,14,10166.70671750949,8177.786792395001
1,0.06,2,within-plan,15,10166.706717509493,9492.905259797266
1,0.06,2,realized-history,1,10166.706717509498,10166.706717509498
1,0.06,2,realized-history,2,10166.706717509498,10166.706717509498
1,0.06,2,realized-history,3,10166.706717509498,10166.706717509498
1,0.06,2,realized-history,4,10166.706717509498,10166.706717509496
1,0.06,2,realized-history,5,10166.7067175095,10166.706717509496
1,0.06,2,realized-history,6,10166.706717509502,10166.706717509496
1,0.06,2,realized-history,7,10166.706717509502,10166.706717509496
1,0.06,2,realized-history,8,10166.7067175095,10166.706719720001
1,0.06,2,realized-history,9,10166.7067175095,10166.7067228091
1,0.06,2,realized-history,10,10166.7067175095,9835.30476688
1,0.06,2,realized-history,11,10166.706717509502,10001.005744844551
1,0.06,2,realized-history,12,10166.7067175095,9918.155255862275
1,0.06,2,realized-history,13,10166.706717509502,9959.580500353413
1,0.06,2,realized-history,14,10166.70671750949,9938.867878107845
1,0.06,2,realized-history,15,10166.706717509493,9949.22418923063
1,0.06,3,within-plan,1,10166.706717509498,10166.706717509498
1,0.06,3,within-plan,2,10166.7067175095,10145.83303171538
1,0.06,3,within-plan,3,10166.706717509502,10033.53524140244
1,0.06,3,within-plan,4,10166.7067175095,9931.943675308506
1,0.06,3,within-plan,5,10166.7067175095,9931.943675369957
1,0.06,3,within-plan,6,10166.7067175095,8617.664530922779
1,0.06,3,within-plan,7,10166.7067175095,8617.66453151415
1,0.06,3,within-plan,8,10166.7067175095,9684.023517393221
1,0.06,3,within-plan,9,10166.7067175095,9673.360033782013
1,0.06,3,within-plan,10,10166.706717509498,9636.366910171731
1,0.06,3,within-plan,11,10166.7067175095,9579.859541378173
1,0.06,3,within-plan,12,10166.7067175095,9419.158342030627
1,0.06,3,within-plan,13,10166.706717509494,8177.786794805877
1,0.06,3,within-plan,14,10166.706717509489,8177.786792395
1,0.06,3,within-plan,15,10166.70671750951,9492.905266218375
1,0.06,3,realized-history,1,10166.706717509498,10166.706717509498
1,0.06,3,realized-history,2,10166.7067175095,10166.7067175095
1,0.06,3,realized-history,3,10166.706717509502,10166.7067175095
1,0.06,3,realized-history,4,10166.7067175095,10166.7067175095
1,0.06,3,realized-history,5,10166.7067175095,10166.7067175095
1,0.06,3,realized-history,6,10166.7067175095,10166.7067175095
1,0.06,3,realized-history,7,10166.7067175095,10166.7067175095
1,0.06,3,realized-history,8,10166.7067175095,10166.706719720001
1,0.06,3,realized-history,9,10166.7067175095,10166.706722628522
1,0.06,3,realized-history,10,10166.706717509498,9835.30476688
1,0.06,3,realized-history,11,10166.7067175095,10056.239403076175
1,0.06,3,realized-history,12,10166.7067175095,10019.4169641949
1,0.06,3,realized-history,13,10166.706717509494,9970.320378050357
1,0.06,3,realized-history,14,10166.706717509489,10015.32558177381
1,0.06,3,realized-history,15,10166.70671750951,10001.68764133969
2,0.0,2,within-plan,1,11732.335530450615,11732.335530450615
2,0.0,2,within-plan,2,11732.335530450611,11681.648661830943
2,0.0,2,within-plan,3,11732.335530450615,11248.507299129435
2,0.0,2,within-plan,4,11732.335530450615,10182.741216019247
2,0.0,2,within-plan,5,11732.33553045062,10161.220048736166
2,0.0,2,within-plan,6,11732.335530450619,10187.212161055286
2,0.0,2,within-plan,7,11732.335530450673,10302.46282188049
2,0.0,2,within-plan,8,11732.335530450646,10929.259108701095
2,0.0,2,within-plan,9,11732.3355304506,10477.502212892396
2,0.0,2,within-plan,10,11732.335530450648,10800.0576445282
2,0.0,2,within-plan,11,11732.335530450622,10477.31266604252
2,0.0,2,within-plan,12,11732.335530450635,10429.945686162508
2,0.0,2,within-plan,13,11732.33553045064,10665.529484468185
2,0.0,2,within-plan,14,11732.335530450633,10450.029185230362
2,0.0,2,within-plan,15,23464.671060901244,10223.189271114292
2,0.0,2,realized-history,1,11732.335530450615,11732.335530450615
2,0.0,2,realized-history,2,11732.335530450611,11732.335530450617
2,0.0,2,realized-history,3,11732.335530450615,11732.335530450615
2,0.0,2,realized-history,4,11732.335530450615,9933.418521623486
2,0.0,2,realized-history,5,11732.33553045062,10832.877026037053
2,0.0,2,realized-history,6,11732.335530450619,10455.686305009125
2,0.0,2,realized-history,7,11732.335530450673,10644.281665523089
2,0.0,2,realized-history,8,11732.335530450646,10860.682980655576
2,0.0,2,realized-history,9,11732.3355304506,10752.482323089333
2,0.0,2,realized-history,10,11732.335530450648,11024.529787041474
2,0.0,2,realized-history,11,11732.335530450622,10888.506055065405
2,0.0,2,realized-history,12,11732.335530450635,10274.870516680761
2,0.0,2,realized-history,13,11732.33553045064,10581.688285873082
2,0.0,2,realized-history,14,11732.335530450633,10556.952074072404
2,0.0,2,realized-history,15,23464.671060901244,10569.320179972745
2,0.0,3,within-plan,1,11732.335530450644,11732.335530450644
2,0.0,3,within-plan,2,11732.335530450644,11681.648661830954
2,0.0,3,within-plan,3,11732.335530450644,11248.507299129433
2,0.0,3,within-plan,4,11732.335530450646,10182.741216019243
2,0.0,3,within-plan,5,11732.335530450644,10161.220048736164
2,0.0,3,within-plan,6,11732.335530450644,10187.212161055335
2,0.0,3,within-plan,7,11732.335530450637,10302.462821880492
2,0.0,3,within-plan,8,11732.335530450584,10929.259108701099
2,0.0,3,within-plan,9,11732.335530450642,10463.851114624274
2,0.0,3,within-plan,10,11732.335530450633,10802.830653071973
2,0.0,3,within-plan,11,11732.335530450619,10477.243898716391
2,0.0,3,within-plan,12,11732.335530450644,10444.050232996999
2,0.0,3,within-plan,13,11732.335530450628,10672.795771392704
2,0.0,3,within-plan,14,11732.33553045062,10454.135108382357
2,0.0,3,within-plan,15,23464.671060901223,10225.739286454304
2,0.0,3,realized-history,1,11732.335530450644,11732.335530450644
2,0.0,3,realized-history,2,11732.335530450644,11732.335530450644
2,0.0,3,realized-history,3,11732.335530450644,11732.335530450644
2,0.0,3,realized-history,4,11732.335530450646,9933.41852162349
2,0.0,3,realized-history,5,11732.335530450644,11132.696527508257
2,0.0,3,realized-history,6,11732.335530450644,10136.588434142677
2,0.0,3,realized-history,7,11732.335530450637,10842.577250166221
2,0.0,3,realized-history,8,11732.335530450584,10703.954070605716
2,0.0,3,realized-history,9,11732.335530450642,11089.508098712597
2,0.0,3,realized-history,10,11732.335530450633,11124.267696436744
2,0.0,3,realized-history,11,11732.335530450619,10972.576621918353
2,0.0,3,realized-history,12,11732.335530450644,10369.393280774852
2,0.0,3,realized-history,13,11732.335530450628,10822.079199709984
2,0.0,3,realized-history,14,11732.33553045062,10721.349700801064
2,0.0,3,realized-history,15,23464.671060901223,10699.721524610264
2,0.02,2,within-plan,1,12163.028259491437,12163.028259491437
2,0.02,2,within-plan,2,12163.028259491437,12084.931865810155
2,0.02,2,within-plan,3,12163.028259491437,12028.080289524567
2,0.02,2,within-plan,4,12163.028259491435,11911.158635017837
2,0.02,2,within-plan,5,12163.028259491539,11908.680009969794
2,0.02,2,within-plan,6,12163.02825949149,11852.466434630485
2,0.02,2,within-plan,7,12163.028259491497,11752.868526849477
2,0.02,2,within-plan,8,12163.02825949149,11748.95880457636
2,0.02,2,within-plan,9,12163.028259491497,11707.90929911246
2,0.02,2,within-plan,10,12163.02825949148,11701.118985731184
2,0.02,2,within-plan,11,12163.02825949149,11698.089098848042
2,0.02,2,within-plan,12,12163.02825949149,11691.536408538586
2,0.02,2,within-plan,13,12163.028259491482,11694.690184590614
2,0.02,2,within-plan,14,12163.02825949149,11579.419812001637
2,0.02,2,within-plan,15,12163.028259491486,11562.48139910812
2,0.02,2,realized-history,1,12163.028259491437,12163.028259491437
2,0.02,2,realized-history,2,12163.028259491437,12084.931865810155
2,0.02,2,realized-history,3,12163.028259491437,12028.080289524567
2,0.02,2,realized-history,4,12163.028259491435,11911.158635017837
2,0.02,2,realized-history,5,12163.028259491539,11908.680009969794
2,0.02,2,realized-history,6,12163.02825949149,11852.466434630485
2,0.02,2,realized-history,7,12163.028259491497,11752.868526849477
2,0.02,2,realized-history,8,12163.02825949149,11748.95880457636
2,0.02,2,realized-history,9,12163.028259491497,11750.913665712917
2,0.02,2,realized-history,10,12163.02825949148,11749.936235144636
2,0.02,2,realized-history,11,12163.02825949149,11726.895786515379
2,0.02,2,realized-history,12,12163.02825949149,11738.416010830006
2,0.02,2,realized-history,13,12163.028259491482,11751.609740779224
2,0.02,2,realized-history,14,12163.02825949149,11639.062561792294
2,0.02,2,realized-history,15,12163.028259491486,11605.330835070723
2,0.02,3,within-plan,1,12163.02825949148,12163.02825949148
2,0.02,3,within-plan,2,12163.028259491482,12084.93186581016
2,0.02,3,within-plan,3,12163.02825949148,12028.080289524565
2,0.02,3,within-plan,4,12163.028259491482,11911.158635017864
2,0.02,3,within-plan,5,12163.02825949148,11908.6800099698
2,0.02,3,within-plan,6,12163.02825949148,11852.46643463049
2,0.02,3,within-plan,7,12163.028259491482,11752.868526849477
2,0.02,3,within-plan,8,12163.028259491482,11748.958804576356
2,0.02,3,within-plan,9,12163.02825949148,11707.909299112463
2,0.02,3,within-plan,10,12163.028259491484,11701.118985731191
2,0.02,3,within-plan,11,12163.028259491482,11698.089098848046
2,0.02,3,within-plan,12,12163.028259491508,11691.536408538588
2,0.02,3,within-plan,13,12163.028259491486,11694.690184590614
2,0.02,3,within-plan,14,12163.0282594915,11579.419812001643
2,0.02,3,within-plan,15,12163.028259491497,11562.481399108116
2,0.02,3,realized-history,1,12163.02825949148,12163.02825949148
2,0.02,3,realized-history,2,12163.028259491482,12084.93186581016
2,0.02,3,realized-history,3,12163.02825949148,12028.080289524565
2,0.02,3,realized-history,4,12163.028259491482,11911.158635017864
2,0.02,3,realized-history,5,12163.02825949148,11908.6800099698
2,0.02,3,realized-history,6,12163.02825949148,11852.46643463049
2,0.02,3,realized-history,7,12163.028259491482,11752.868526849477
2,0.02,3,realized-history,8,12163.028259491482,11748.958804576356
2,0.02,3,realized-history,9,12163.02825949148,11707.909299112463
2,0.02,3,realized-history,10,12163.028259491484,11701.118985731191
2,0.02,3,realized-history,11,12163.028259491482,11698.089098848046
2,0.02,3,realized-history,12,12163.028259491508,11702.372461230567
2,0.02,3,realized-history,13,12163.028259491486,11700.526848603267
2,0.02,3,realized-history,14,12163.0282594915,11584.691932939691
2,0.02,3,realized-history,15,12163.028259491497,11564.000492635741
2,0.04,2,within-plan,1,12129.03796511731,12129.03796511731
2,0.04,2,within-plan,2,12129.037965117308,12079.714820040139
2,0.04,2,within-plan,3,12129.037965117299,12010.72964236236
2,0.04,2,within-plan,4,12129.037965117303,11933.332566230509
2,0.04,2,within-plan,5,12129.037965117303,11932.999477566264
2,0.04,2,within-plan,6,12129.037965117303,11885.553965145853
2,0.04,2,within-plan,7,12129.037965117303,11713.575717061765
2,0.04,2,within-plan,8,12129.037965117303,11710.96624295664
2,0.04,2,within-plan,9,12129.037965117308,11649.057430994984
2,0.04,2,within-plan,10,12129.037965117303,11649.057430913454
2,0.04,2,within-plan,11,12129.037965117299,11649.05743187958
2,0.04,2,within-plan,12,12129.0379651173,11640.096871298929
2,0.04,2,within-plan,13,12129.037965117304,11640.096871875496
2,0.04,2,within-plan,14,12129.037965117306,11635.478272256696
2,0.04,2,within-plan,15,12129.037965117303,11631.233416192706
2,0.04,2,realized-history,1,12129.03796511731,12129.03796511731
2,0.04,2,realized-history,2,12129.037965117308,12079.714820040139
2,0.04,2,realized-history,3,12129.037965117299,12010.72964236236
2,0.04,2,realized-history,4,12129.037965117303,11933.332566230509
2,0.04,2,realized-history,5,12129.037965117303,11932.999477566264
2,0.04,2,realized-history,6,12129.037965117303,11885.553965145853
2,0.04,2,realized-history,7,12129.037965117303,11713.575717061765
2,0.04,2,realized-history,8,12129.037965117303,11710.96624295664
2,0.04,2,realized-history,9,12129.037965117308,11712.2709800092
2,0.04,2,realized-history,10,12129.037965117303,11711.618611482918
2,0.04,2,realized-history,11,12129.037965117299,11709.341743974575
2,0.04,2,realized-history,12,12129.0379651173,11698.786106163923
2,0.04,2,realized-history,13,12129.037965117304,11698.757624643395
2,0.04,2,realized-history,14,12129.037965117306,11668.624500010046
2,0.04,2,realized-history,15,12129.037965117303,11667.060232021595
2,0.04,3,within-plan,1,12129.037965117299,12129.037965117299
2,0.04,3,within-plan,2,12129.037965117299,12079.714820040153
2,0.04,3,within-plan,3,12129.037965117299,12010.729642362381
2,0.04,3,within-plan,4,12129.037965117299,11933.332566230507
2,0.04,3,within-plan,5,12129.037965117297,11932.999477566258
2,0.04,3,within-plan,6,12129.037965117295,11885.553965145851
2,0.04,3,within-plan,7,12129.037965117306,11713.575717061776
2,0.04,3,within-plan,8,12129.037965117295,11710.966242956643
2,0.04,3,within-plan,9,12129.037965117315,11649.057430994984
2,0.04,3,within-plan,10,12129.03796511731,11649.057430923138
2,0.04,3,within-plan,11,12129.037965117303,11649.057431879575
2,0.04,3,within-plan,12,12129.0379651173,11640.096871298932
2,0.04,3,within-plan,13,12129.0379651173,11640.096871875496
2,0.04,3,within-plan,14,12129.037965117299,11635.478272256685
2,0.04,3,within-plan,15,12129.037965117303,11631.233416192714
2,0.04,3,realized-history,1,12129.037965117299,12129.037965117299
2,0.04,3,realized-history,2,12129.037965117299,12079.714820040153
2,0.04,3,realized-history,3,12129.037965117299,12010.729642362381
2,0.04,3,realized-history,4,12129.037965117299,11933.332566230507
2,0.04,3,realized-history,5,12129.037965117297,11932.999477566258
2,0.04,3,realized-history,6,12129.037965117295,11885.553965145851
2,0.04,3,realized-history,7,12129.037965117306,11713.575717061776
2,0.04,3,realized-history,8,12129.037965117295,11710.966242956643
2,0.04,3,realized-history,9,12129.037965117315,11649.057430994984
2,0.04,3,realized-history,10,12129.03796511731,11649.057430923138
2,0.04,3,realized-history,11,12129.037965117303,11649.057431879575
2,0.04,3,realized-history,12,12129.0379651173,11640.096871298932
2,0.04,3,realized-history,13,12129.0379651173,11646.070578033883
2,0.04,3,realized-history,14,12129.037965117299,11645.304170239608
2,0.04,3,realized-history,15,12129.037965117303,11643.823873190808
2,0.06,2,within-plan,1,12071.547731161025,12071.547731161025
2,0.06,2,within-plan,2,12071.547731161027,12071.54773120791
2,0.06,2,within-plan,3,12071.547731161027,11954.774712714356
2,0.06,2,within-plan,4,12071.547731161025,11874.044437426934
2,0.06,2,within-plan,5,12071.547731161027,11859.183263141675
2,0.06,2,within-plan,6,12071.547731161021,11817.535721059443
2,0.06,2,within-plan,7,12071.54773116102,11708.91973388079
2,0.06,2,within-plan,8,12071.547731161027,11603.500488881802
2,0.06,2,within-plan,9,12071.547731161027,11603.500489438979
2,0.06,2,within-plan,10,12071.547731161027,11603.50048967826
2,0.06,2,within-plan,11,12071.547731161027,11603.449067624568
2,0.06,2,within-plan,12,12071.547731161023,11596.488375101435
2,0.06,2,within-plan,13,12071.547731161025,11594.49370932329
2,0.06,2,within-plan,14,12071.54773116103,11594.811770628887
2,0.06,2,within-plan,15,12071.547731161034,11523.137384132035
2,0.06,2,realized-history,1,12071.547731161025,12071.547731161025
2,0.06,2,realized-history,2,12071.547731161027,12071.547731231314
2,0.06,2,realized-history,3,12071.547731161027,11954.774712714354
2,0.06,2,realized-history,4,12071.547731161025,11874.044437426925
2,0.06,2,realized-history,5,12071.547731161027,11859.183263141676
2,0.06,2,realized-history,6,12071.547731161021,11817.535721059441
2,0.06,2,realized-history,7,12071.54773116102,11708.919733880804
2,0.06,2,realized-history,8,12071.547731161027,11603.500488881802
2,0.06,2,realized-history,9,12071.547731161027,11603.500489438979
2,0.06,2,realized-history,10,12071.547731161027,11603.500490180206
2,0.06,2,realized-history,11,12071.547731161027,11603.50050338227
2,0.06,2,realized-history,12,12071.547731161023,11596.483029099923
2,0.06,2,realized-history,13,12071.547731161025,11599.991766241097
2,0.06,2,realized-history,14,12071.54773116103,11598.23739767051
