landbase,discount_rate,horizon,calibrated_cap_mcf,converged,iterations,crit_max_slope_rel,crit_max_fluctuation,crit_max_cv,realized_cv,realized_slope_rel,realized_max_fluctuation,projected_cv,fd_version,ws3_version,max_abs_rel_deviation,mean_abs_rel_deviation,total_projected,total_realized,total_rel_change,occurrence,occurrence_tolerance
1,0.0,15,9396.771439453125,True,12,0.01,0.05,0.05,0.011620192999738991,0.0005248526485955314,0.043542254709483634,2.95692220240437e-16,0.1.0b1,1.1.0a5,0.04335870191301831,0.004215509685706307,140951.57159179685,140357.38887653613,-0.004215509685706088,False,0.05
1,0.02,15,9620.504092773437,True,12,0.01,0.05,0.05,0.009428692590044044,0.0008099755965269032,0.03779886131720665,0.0734366182037431,0.1.0b1,1.1.0a5,0.26086631758229734,0.017391087886465973,141529.7899196532,143944.83135064045,0.017063838166920673,False,0.05
1,0.04,15,9396.771439453125,True,12,0.01,0.05,0.05,0.0035666775121031744,0.0003063968513703429,0.01429852002070936,2.95692220240437e-16,0.1.0b1,1.1.0a5,0.014284903097093727,0.0009523269526809528,140951.57159179685,140817.33961688227,-0.0009523269119930463,False,0.05
1,0.06,15,9396.771439453125,True,12,0.01,0.05,0.05,0.00850376665269628,0.00012175324604073417,0.034090908548500706,2.95692220240437e-16,0.1.0b1,1.1.0a5,0.03401360490220998,0.0022675736683771255,140951.57159179685,140631.9535206327,-0.0022675736606171427,False,0.05
2,0.0,15,11745.964299316409,True,12,0.01,0.05,0.05,0.011620193081931544,0.0005248526268413032,0.043542255177428234,2.1900624067597483e-16,0.1.0b1,1.1.0a5,0.04335870238174271,0.0042155096704407456,176189.4644897461,175446.73610680702,-0.004215509622496865,False,0.05
2,0.02,15,12025.6301159668,True,12,0.01,0.05,0.05,0.009428692097392059,0.0008099755611596549,0.03779885934340878,0.0734366182037443,0.1.0b1,1.1.0a5,0.26086631909078467,0.017391088010157096,176912.23739956654,179931.039211716,0.01706383829927677,False,0.05
2,0.04,15,11745.964299316409,True,12,0.01,0.05,0.05,0.003566677307037951,0.0003063968359311782,0.01429851916590632,2.1900624067597483e-16,0.1.0b1,1.1.0a5,0.014284902244354055,0.0009523268324006456,176189.4644897461,176021.6745364934,-0.0009523268246409429,False,0.05
2,0.06,15,11745.964299316409,True,12,0.01,0.05,0.05,0.008503766438135659,0.00012175324960027869,0.03409090766993136,2.1900624067597483e-16,0.1.0b1,1.1.0a5,0.034013604028203706,0.0022675736359975053,176189.4644897461,175789.94191407802,-0.0022675735852034436,False,0.05
3,0.0,15,7090.91312890625,True,11,0.01,0.05,0.05,0.011593051559470212,0.0011618899949165668,0.04647560030755959,0.011593051546937152,0.1.0b1,1.1.0a5,0.04633204708600624,0.006177606231707086,106035.16041796874,106035.16042316664,4.902053661575936e-11,False,0.05
3,0.02,15,7090.91312890625,True,11,0.01,0.05,0.05,0.011593051287458215,0.0006639371345363545,0.04647559925822766,0.011593051546937152,0.1.0b1,1.1.0a5,1.0953844707931724e-09,8.361435212300054e-11,106035.16041796874,106035.16042650239,8.047944200681005e-11,False,0.05
3,0.04,15,7090.91312890625,True,11,0.01,0.05,0.05,0.011593051284742644,0.0006639371322674114,0.0464755992587213,0.011593051546937152,0.1.0b1,1.1.0a5,1.0953844707931724e-09,7.302573399581171e-11,106035.16041796874,106035.16042537615,6.985800780837979e-11,False,0.05
3,0.06,15,7090.91312890625,True,11,0.01,0.05,0.05,0.01159305128474265,0.0006639371322674114,0.0464755992587213,0.011593051546937152,0.1.0b1,1.1.0a5,1.0953844707931724e-09,7.302571689421167e-11,106035.16041796874,106035.16042537615,6.985800780837979e-11,False,0.05
4,0.0,15,11460.23022949219,True,11,0.01,0.05,0.05,0.013832866817124652,0.0005337456865713653,0.046628923852970953,0.058338158014883096,0.1.0b1,1.1.0a5,0.22820277300615202,0.024669121955179573,168757.2212061311,170808.97842277915,0.012158041012905177,False,0.05
4,0.02,15,11460.23022949219,True,11,0.01,0.05,0.05,0.011593051510425159,0.0006639371400777111,0.046475600173322945,0.058338158014883096,0.1.0b1,1.1.0a5,0.22820277330811176,0.015213518260608041,168757.2212061311,171372.47752439688,0.015497152060066993,False,0.05
4,0.04,15,11238.990263671876,True,11,0.01,0.05,0.05,0.009440980257201788,0.000540687452586981,0.03784812162865326,0.009440980656444423,0.1.0b1,1.1.0a5,1.6524739287560454e-09,1.1248948436022234e-10,168160.54987417778,168160.54989165688,1.0394287600327235e-10,False,0.05
4,0.06,15,11238.990263671876,True,11,0.01,0.05,0.05,0.009440980257201788,0.000540687452586981,0.03784812162865326,0.009440980656444423,0.1.0b1,1.1.0a5,1.6524739287560454e-09,1.1248948436022234e-10,168160.54987417778,168160.54989165688,1.0394287600327235e-10,False,0.05
5,0.0,15,8743.70535845539,True,11,0.01,0.05,0.05,0.010699875672666982,0.0010723732242205618,0.042894930529679014,0.010699875680226621,0.1.0b1,1.1.0a5,0.04277261596957503,0.005703017393615261,130781.58922762933,130781.58922377515,-2.947033014663285e-11,False,0.05
5,0.02,15,8743.70535845539,True,11,0.01,0.05,0.05,0.010699875776187969,0.0006127847449991206,0.04289493126023979,0.010699875680226621,0.1.0b1,1.1.0a5,8.871650050362915e-10,8.155997137333905e-11,130781.58922762933,130781.58923257224,3.779513066381998e-11,False,0.05
5,0.04,15,8743.70535845539,True,11,0.01,0.05,0.05,0.010699875776187969,0.0006127847449991206,0.04289493126023979,0.010699875680226621,0.1.0b1,1.1.0a5,8.871650050362915e-10,8.155997137333905e-11,130781.58922762933,130781.58923257224,3.779513066381998e-11,False,0.05
5,0.06,15,8743.70535845539,True,11,0.01,0.05,0.05,0.010699875776187969,0.0006127847449991206,0.04289493126023979,0.010699875680226621,0.1.0b1,1.1.0a5,8.871650050362915e-10,8.155997137333905e-11,130781.58922762933,130781.58923257224,3.779513066381998e-11,False,0.05
6,0.0,15,8859.005302521466,True,11,0.01,0.05,0.05,0.009486477134507572,0.0009507628513231569,0.03803051485038735,0.009486477121335877,0.1.0b1,1.1.0a5,0.03793433831535211,0.00505791172692261,132549.0190419994,132549.0190487723,5.1097306895894324e-11,False,0.05
6,0.02,15,8859.005302521466,True,11,0.01,0.05,0.05,0.009486476756286133,0.0005432930522008485,0.038030513375331344,0.009486477121335877,0.1.0b1,1.1.0a5,1.526984796259644e-09,1.1440843489322889e-10,132549.0190419994,132549.0190566894,1.108270209018249e-10,False,0.05
6,0.04,15,8859.005302521466,True,11,0.01,0.05,0.05,0.009486476754852724,0.0005432930501186135,0.03803051337554283,0.009486477121335877,0.1.0b1,1.1.0a5,1.526984796259644e-09,1.0886178329212496e-10,132549.0190419994,132549.01905595232,1.0526618299088053e-10,False,0.05
6,0.06,15,8859.005302521466,True,11,0.01,0.05,0.05,0.009486476754852723,0.0005432930501186134,0.03803051337554282,0.009486477121335877,0.1.0b1,1.1.0a5,1.526984796259644e-09,1.088617969805647e-10,132549.0190419994,132549.01905595235,1.0526640256120001e-10,False,0.05
