landbase,discount_rate,flow_policy,flow_denominator,max_decrease,max_increase,horizon,fd_version,ws3_version,max_abs_rel_deviation,mean_abs_rel_deviation,total_projected,total_realized,total_rel_change,occurrence,occurrence_tolerance,rev_max_abs_rel_deviation,rev_mean_abs_rel_deviation,rev_total_rel_change,rev_occurrence
1,0.0,NHF,volume,,,15,0.1.0b1,1.1.0a5,1.0,0.29571041273849846,171217.782,140577.782,-0.17895337529836708,True,0.05,1.0,0.29228274435854845,-0.13711557938241337,True
1,0.0,NHF,revenue,,,15,0.1.0b1,1.1.0a5,1.0,0.29571041273849846,171217.782,140577.782,-0.17895337529836708,True,0.05,1.0,0.29228274435854845,-0.13711557938241337,True
1,0.0,NDY,volume,0.0,,15,0.1.0b1,1.1.0a5,0.6364422816248637,0.14070269907048424,156509.23474093882,128075.51847716286,-0.1816743677192003,True,0.05,0.6354083871625802,0.17265085401064234,-0.16001831499415825,True
1,0.0,NDY,revenue,0.0,,15,0.1.0b1,1.1.0a5,0.6303780561631639,0.1734826631432488,156509.23474093882,133279.8912913555,-0.14842155153357928,True,0.05,0.634895887828271,0.19854916015405213,-0.137741928674559,True
1,0.0,-10%,volume,0.1,,15,0.1.0b1,1.1.0a5,0.8446743039883238,0.3357782306798766,161079.9605720991,139197.73032233625,-0.13584700525158377,True,0.05,0.8470779852143634,0.3416685749474624,-0.1367702557726894,True
1,0.0,-10%,revenue,0.1,,15,0.1.0b1,1.1.0a5,0.8034244766661593,0.3977324240916884,161079.9605720991,139144.7945006197,-0.13617563596100626,True,0.05,0.7902358049849922,0.38854752199226955,-0.14496631744752564,True
1,0.0,-20%,volume,0.2,,15,0.1.0b1,1.1.0a5,1.0,0.37616204672007497,164477.3897271473,138054.72080779515,-0.16064620774432825,True,0.05,1.0,0.37523464642447035,-0.15837836031634195,True
1,0.0,-20%,revenue,0.2,,15,0.1.0b1,1.1.0a5,1.0,0.3724608184350907,164477.3897271473,132285.34007815685,-0.19572325231081344,True,0.05,1.0,0.36659447198093986,-0.20463413264497976,True
1,0.0,+/-10%,volume,0.1,0.1,15,0.1.0b1,1.1.0a5,0.3807636924031918,0.10377615082123476,155854.4106299816,140579.35126886284,-0.09800851512238379,True,0.05,0.4028519895320054,0.127182775114248,-0.10854611627763316,True
1,0.0,+/-10%,revenue,0.1,0.1,15,0.1.0b1,1.1.0a5,0.3267838631336055,0.1257048718755658,155854.4106299816,142262.87856424664,-0.08720659242684513,True,0.05,0.3420549288869755,0.13439317517073715,-0.10212159219819021,True
1,0.0,+/-20%,volume,0.2,0.2,15,0.1.0b1,1.1.0a5,0.3357730948941821,0.13331758547006517,159974.87297826912,144467.22298703014,-0.09693803597109611,True,0.05,0.37499053999628756,0.14750231322591872,-0.10464988364461686,True
1,0.0,+/-20%,revenue,0.2,0.2,15,0.1.0b1,1.1.0a5,0.3824716754187176,0.12000245030212944,159974.87297826912,145448.33021934566,-0.09080515263729408,True,0.05,0.4214474827018806,0.13232104694170227,-0.0984893385394891,True
1,0.02,NHF,volume,,,15,0.1.0b1,1.1.0a5,0.0,0.0,171217.782,171217.782,0.0,False,0.05,0.0,0.0,0.0,False
1,0.02,NHF,revenue,,,15,0.1.0b1,1.1.0a5,0.0,0.0,171217.782,171217.782,0.0,False,0.05,0.0,0.0,0.0,False
1,0.02,NDY,volume,0.0,,15,0.1.0b1,1.1.0a5,0.20612001254511844,0.06956213666904619,154296.076952796,143380.8109335178,-0.07074234312916153,True,0.05,0.5415290565138662,0.10389875204417744,-0.020999730191849152,True
1,0.02,NDY,revenue,0.0,,15,0.1.0b1,1.1.0a5,0.2515253824225548,0.11697331595579659,154296.076952796,146399.83422502253,-0.05117591376084809,True,0.05,0.537952552883537,0.15206640776582456,-0.018358439971463313,True
1,0.02,-10%,volume,0.1,,15,0.1.0b1,1.1.0a5,0.30880717683432024,0.0961277925143321,161875.68927012684,151757.9065322635,-0.06250341100311542,True,0.05,0.8798886492526852,0.14631213059760528,-0.01060715627326673,True
1,0.02,-10%,revenue,0.1,,15,0.1.0b1,1.1.0a5,0.31235028631387723,0.11911096777129022,161875.68927012684,152357.24681335417,-0.05880093854543505,True,0.05,0.8631022621038713,0.15892277645948438,-0.014257857092848795,True
1,0.02,-20%,volume,0.2,,15,0.1.0b1,1.1.0a5,0.5091952626001783,0.12636093691563724,167938.99744636883,155379.9933489921,-0.07478313130568393,True,0.05,1.325639882723044,0.20744080255525893,-0.034464003031238956,True
1,0.02,-20%,revenue,0.2,,15,0.1.0b1,1.1.0a5,0.5388625107556922,0.2468881174072418,167938.99744636883,156740.0732676245,-0.06668447679831294,True,0.05,1.3760589255210842,0.3134103158079154,-0.030299895793260662,True
1,0.02,+/-10%,volume,0.1,0.1,15,0.1.0b1,1.1.0a5,0.24358868619815852,0.08178021912934148,160126.80924177667,151375.56599021074,-0.05465195549080331,True,0.05,0.8846964342902852,0.13591629863328888,-0.001678830969051118,True
1,0.02,+/-10%,revenue,0.1,0.1,15,0.1.0b1,1.1.0a5,0.27697477891582517,0.0883132618563273,160126.80924177667,151618.89031999515,-0.05313238277879726,True,0.05,0.8850923211400293,0.14037319579099525,-0.0032335248558426387,True
1,0.02,+/-20%,volume,0.2,0.2,15,0.1.0b1,1.1.0a5,0.2682185678327583,0.12478010539961246,161579.50605278008,152681.0933625259,-0.055071419065655,True,0.05,1.0188192113387018,0.18972070596804888,-0.006114174647138594,True
1,0.02,+/-20%,revenue,0.2,0.2,15,0.1.0b1,1.1.0a5,0.40877719283410724,0.1581446944920721,161579.50605278008,150339.50796704568,-0.0695632655422455,True,0.05,1.0191690377666252,0.22019879981349133,-0.023300737620059485,True
1,0.04,NHF,volume,,,15,0.1.0b1,1.1.0a5,0.0,0.0,171217.782,171217.782,0.0,False,0.05,0.0,0.0,0.0,False
1,0.04,NHF,revenue,,,15,0.1.0b1,1.1.0a5,0.0,0.0,171217.782,171217.782,0.0,False,0.05,0.0,0.0,0.0,False
1,0.04,NDY,volume,0.0,,15,0.1.0b1,1.1.0a5,0.14039441083096774,0.0743563309325666,153674.26659922992,142247.61197615808,-0.07435633093256681,True,0.05,0.31021301879076485,0.09311375772514578,-0.02387457221034463,True
1,0.04,NDY,revenue,0.0,,15,0.1.0b1,1.1.0a5,0.2525544609573133,0.1138886607372123,153674.26659922992,146505.481515357,-0.04664922268715633,True,0.05,0.22171484824327095,0.12055873583498784,-0.011738144349727208,True
1,0.04,-10%,volume,0.1,,15,0.1.0b1,1.1.0a5,0.28318877091839967,0.07014238785348706,159989.48360096844,152142.9148032749,-0.04904427854310565,True,0.05,0.8651590961418066,0.10953941267752096,-0.0011286487437826634,True
1,0.04,-10%,revenue,0.1,,15,0.1.0b1,1.1.0a5,0.35611426439621835,0.1813418025759143,159989.48360096844,153199.13239799583,-0.042442484656732206,True,0.05,0.8740448237149281,0.21758647731112982,0.003739502050707107,True
1,0.04,-20%,volume,0.2,,15,0.1.0b1,1.1.0a5,0.37700277566828133,0.10749041682731637,166355.16920019742,153955.57586430898,-0.07453686828911428,True,0.05,1.4707487241295614,0.17729675682906473,-0.028802360521866733,True
1,0.04,-20%,revenue,0.2,,15,0.1.0b1,1.1.0a5,0.5245191747069499,0.2607775698602893,166355.16920019742,156727.76241493164,-0.05787260372823059,True,0.05,1.3853167791757568,0.32858215932657575,-0.020467907564614418,True
1,0.04,+/-10%,volume,0.1,0.1,15,0.1.0b1,1.1.0a5,0.26161125869393054,0.07470698086731234,155860.95668898025,151333.0383651559,-0.029051010721432916,True,0.05,0.8968585039186354,0.12209827561242959,0.026271921244198866,True
1,0.04,+/-10%,revenue,0.1,0.1,15,0.1.0b1,1.1.0a5,0.22674307095445748,0.1010675585982664,155860.95668898025,152009.50150819632,-0.024710840114176187,True,0.05,0.8940940327038249,0.14858593953453217,0.02885396787305299,True
1,0.04,+/-20%,volume,0.2,0.2,15,0.1.0b1,1.1.0a5,0.3950224428785237,0.11288278521223286,151606.52348098287,153835.85523954788,0.014704721850868437,True,0.05,1.9303841754086526,0.23082720373519314,0.02907795090094788,True
1,0.04,+/-20%,revenue,0.2,0.2,15,0.1.0b1,1.1.0a5,0.25921519083904737,0.13669438314279544,151606.52348098287,152246.04679347167,0.004218309989602946,True,0.05,1.2639319317867856,0.20029249537025065,0.06489927637192285,True
1,0.06,NHF,volume,,,15,0.1.0b1,1.1.0a5,0.0,0.0,171217.782,171217.782,0.0,False,0.05,0.0,0.0,0.0,False
1,0.06,NHF,revenue,,,15,0.1.0b1,1.1.0a5,0.0,0.0,171217.782,171217.782,0.0,False,0.05,0.0,0.0,0.0,False
1,0.06,NDY,volume,0.0,,15,0.1.0b1,1.1.0a5,0.19554855266111454,0.07349964932001314,152500.60076264248,141291.86008549694,-0.07349964932001309,True,0.05,0.4745137892718517,0.10851477189864063,-0.021543979969839686,True
1,0.06,NDY,revenue,0.0,,15,0.1.0b1,1.1.0a5,0.2582629722995023,0.10968922260016842,152500.60076264248,146503.85925456934,-0.03932274022583486,True,0.05,0.52389999786749,0.14503136326025365,-0.003212692513084635,True
1,0.06,-10%,volume,0.1,,15,0.1.0b1,1.1.0a5,0.283188770697381,0.10564692707483564,159229.1747609344,148498.2157601897,-0.06739317098676231,True,0.05,0.8765198833456276,0.14301049013040934,-0.01776793213906883,True
1,0.06,-10%,revenue,0.1,,15,0.1.0b1,1.1.0a5,0.3316781937065373,0.24256882974898714,159229.1747609344,150620.36987441636,-0.054065499613643334,True,0.05,0.8869533593556537,0.2693767114399764,-0.010869985738609258,True
