landbase,discount_path,path_family,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,linear-4pc-0pc,linear,0.04,+/-10%,9,8346.557675037133,10201.34826536
1,linear-4pc-0pc,linear,0.04,+/-10%,10,8559.321165368852,11221.483095700001
1,linear-4pc-0pc,linear,0.04,+/-10%,11,9415.253281905727,11245.691050774909
1,linear-4pc-0pc,linear,0.04,+/-10%,12,10356.77861009632,9400.523997001399
1,linear-4pc-0pc,linear,0.04,+/-10%,13,11392.456471105957,8344.410446589474
1,linear-4pc-0pc,linear,0.04,+/-10%,14,12531.70211821656,7509.969399539999
1,linear-4pc-0pc,linear,0.04,+/-10%,15,13784.8723300382,10377.97690336
1,linear-4pc-0pc,linear,0.04,+/-20%,1,19177.407040944883,19177.407040944883
1,linear-4pc-0pc,linear,0.04,+/-20%,2,15341.925632755932,15341.925634831812
1,linear-4pc-0pc,linear,0.04,+/-20%,3,12273.540506204761,12273.540505309156
1,linear-4pc-0pc,linear,0.04,+/-20%,4,9818.832404963836,9818.832401784563
1,linear-4pc-0pc,linear,0.04,+/-20%,5,7855.0659239710685,5657.62442920024
1,linear-4pc-0pc,linear,0.04,+/-20%,6,6324.548491159514,6794.871785789386
1,linear-4pc-0pc,linear,0.04,+/-20%,7,7589.458189391276,8994.233560810608
1,linear-4pc-0pc,linear,0.04,+/-20%,8,9107.34982726958,13191.542555855554
1,linear-4pc-0pc,linear,0.04,+/-20%,9,10928.81979272349,10553.23404467
1,linear-4pc-0pc,linear,0.04,+/-20%,10,8743.055834178786,13458.621673281768
1,linear-4pc-0pc,linear,0.04,+/-20%,11,8019.341830540978,10587.817991299999
1,linear-4pc-0pc,linear,0.04,+/-20%,12,9623.210196649241,8470.2543901
1,linear-4pc-0pc,linear,0.04,+/-20%,13,11547.852235979035,7436.134683629092
1,linear-4pc-0pc,linear,0.04,+/-20%,14,13857.422683174795,6027.184097300001
1,linear-4pc-0pc,linear,0.04,+/-20%,15,16628.90721980978,11066.09954076666
1,linear-6pc-0pc,linear,0.06,NHF,1,65457.782,65457.782
1,linear-6pc-0pc,linear,0.06,NHF,2,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,3,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,4,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,5,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,6,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,7,30640.0,30640.0
1,linear-6pc-0pc,linear,0.06,NHF,8,11500.0,11500.0
1,linear-6pc-0pc,linear,0.06,NHF,9,21480.0,21480.0
1,linear-6pc-0pc,linear,0.06,NHF,10,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,11,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,12,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,13,0.0,30640.0
1,linear-6pc-0pc,linear,0.06,NHF,14,0.0,0.0
1,linear-6pc-0pc,linear,0.06,NHF,15,45420.0,11500.0
1,linear-6pc-0pc,linear,0.06,NDY,1,10197.504495871995,10197.504495871995
1,linear-6pc-0pc,linear,0.06,NDY,2,10197.504495871995,10194.429996982191
1,linear-6pc-0pc,linear,0.06,NDY,3,10197.504495872003,10028.236424058943
1,linear-6pc-0pc,linear,0.06,NDY,4,10197.504495871995,9825.225335256899
1,linear-6pc-0pc,linear,0.06,NDY,5,10197.504495871995,9819.694412286834
1,linear-6pc-0pc,linear,0.06,NDY,6,10197.504495871997,9815.611763417652
1,linear-6pc-0pc,linear,0.06,NDY,7,10197.504495871975,9709.23549070817
1,linear-6pc-0pc,linear,0.06,NDY,8,10197.504495871988,9684.751525278381
1,linear-6pc-0pc,linear,0.06,NDY,9,10197.504495871992,9017.76485684
1,linear-6pc-0pc,linear,0.06,NDY,10,10197.504495871992,9017.76485762
1,linear-6pc-0pc,linear,0.06,NDY,11,10197.50449587199,9625.455769588272
1,linear-6pc-0pc,linear,0.06,NDY,12,10197.50449587199,9620.03310196263
1,linear-6pc-0pc,linear,0.06,NDY,13,10197.504495871979,8086.76463920875
1,linear-6pc-0pc,linear,0.06,NDY,14,10197.504495871992,8086.7646357775
1,linear-6pc-0pc,linear,0.06,NDY,15,11531.014010588122,9721.314488672884
1,linear-6pc-0pc,linear,0.06,-10%,1,15108.304397098324,15108.304397098324
1,linear-6pc-0pc,linear,0.06,-10%,2,13597.473957388498,13597.473956998581
1,linear-6pc-0pc,linear,0.06,-10%,3,12237.726561649655,12237.726561504562
1,linear-6pc-0pc,linear,0.06,-10%,4,11013.95390548469,11013.953902795129
1,linear-6pc-0pc,linear,0.06,-10%,5,9912.558514936223,7105.433251217059
1,linear-6pc-0pc,linear,0.06,-10%,6,8921.302663442613,6394.889923371658
1,linear-6pc-0pc,linear,0.06,-10%,7,8029.172397098342,8029.172397799999
1,linear-6pc-0pc,linear,0.06,-10%,8,11752.532939129262,11924.52394631
1,linear-6pc-0pc,linear,0.06,-10%,9,10577.279645216347,10732.071550969998
1,linear-6pc-0pc,linear,0.06,-10%,10,9519.551680694713,9658.864392919999
1,linear-6pc-0pc,linear,0.06,-10%,11,8567.596512625241,8692.977961120001
1,linear-6pc-0pc,linear,0.06,-10%,12,7710.836861362714,7823.68014908
1,linear-6pc-0pc,linear,0.06,-10%,13,6939.753175226444,10552.07559008421
1,linear-6pc-0pc,linear,0.06,-10%,14,6245.777857703809,9496.86802784
1,linear-6pc-0pc,linear,0.06,-10%,15,22116.37924277778,11235.068466691318
1,linear-6pc-0pc,linear,0.06,-20%,1,19188.3836412525,19188.3836412525
1,linear-6pc-0pc,linear,0.06,-20%,2,15350.706913002003,15350.706910315866
1,linear-6pc-0pc,linear,0.06,-20%,3,12280.565530401596,12280.565527470208
1,linear-6pc-0pc,linear,0.06,-20%,4,9824.452424321275,9824.452423977256
1,linear-6pc-0pc,linear,0.06,-20%,5,7859.561939457021,4896.485272744944
1,linear-6pc-0pc,linear,0.06,-20%,6,6287.649551565607,3917.1882204773
1,linear-6pc-0pc,linear,0.06,-20%,7,6207.035791731681,6207.03578808
1,linear-6pc-0pc,linear,0.06,-20%,8,16867.28197928165,16867.281977733335
1,linear-6pc-0pc,linear,0.06,-20%,9,13493.825583425323,13493.82558394
1,linear-6pc-0pc,linear,0.06,-20%,10,10795.06046674026,9566.78500076667
1,linear-6pc-0pc,linear,0.06,-20%,11,8636.048373392214,7653.42799862
1,linear-6pc-0pc,linear,0.06,-20%,12,6908.838698713769,8910.377461688888
1,linear-6pc-0pc,linear,0.06,-20%,13,5527.070958971017,6941.991080455556
1,linear-6pc-0pc,linear,0.06,-20%,14,4421.656767176813,5553.59286218
1,linear-6pc-0pc,linear,0.06,-20%,15,23307.46816519035,13083.704564133333
1,linear-6pc-0pc,linear,0.06,+/-10%,1,15108.304397098356,15108.304397098356
1,linear-6pc-0pc,linear,0.06,+/-10%,2,13597.47395738851,13597.473956998583
1,linear-6pc-0pc,linear,0.06,+/-10%,3,12237.726561649653,12237.726562906268
1,linear-6pc-0pc,linear,0.06,+/-10%,4,11013.95390548469,11013.953904808834
1,linear-6pc-0pc,linear,0.06,+/-10%,5,9912.558514936214,8110.27514864008
1,linear-6pc-0pc,linear,0.06,+/-10%,6,8921.302663442575,7299.247633776073
1,linear-6pc-0pc,linear,0.06,+/-10%,7,8029.172397098344,8029.172397799999
1,linear-6pc-0pc,linear,0.06,+/-10%,8,8832.089636808138,8832.08963565
1,linear-6pc-0pc,linear,0.06,+/-10%,9,9715.298600488944,9847.32303507751
1,linear-6pc-0pc,linear,0.06,+/-10%,10,9542.292256597339,12584.939377024608
1,linear-6pc-0pc,linear,0.06,+/-10%,11,8789.395578613436,11326.445438854318
1,linear-6pc-0pc,linear,0.06,+/-10%,12,9668.335136474749,10193.800894884716
1,linear-6pc-0pc,linear,0.06,+/-10%,13,10635.168650122261,7797.340737037185
1,linear-6pc-0pc,linear,0.06,+/-10%,14,11698.685515134493,6958.560124577032
1,linear-6pc-0pc,linear,0.06,+/-10%,15,12868.554066647921,10200.351486631578
1,linear-6pc-0pc,linear,0.06,+/-20%,1,19188.383641252505,19188.383641252505
1,linear-6pc-0pc,linear,0.06,+/-20%,2,15350.706913002,15350.706912243832
1,linear-6pc-0pc,linear,0.06,+/-20%,3,12280.565530401595,12280.565529782425
1,linear-6pc-0pc,linear,0.06,+/-20%,4,9824.452424321276,9824.452420572678
1,linear-6pc-0pc,linear,0.06,+/-20%,5,7859.5619394570085,7859.561936907567
