landbase,discount_path,path_family,discount_rate,flow_policy,period,announced,realized,obj_free,obj_fixed,objective_gap,tail_status
1,linear-4pc-0pc,linear,0.04,NHF,1,65457.782,65457.782,48917312.79841316,48917312.79841316,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,2,0.0,0.0,13314087.001801508,13314087.001801508,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,3,0.0,0.0,17693789.263027415,17693789.263027415,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,4,0.0,0.0,21757671.307331678,21757671.307331678,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,5,0.0,0.0,29544874.223620042,29544874.223620042,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,6,0.0,0.0,38571882.43466711,38571882.43466711,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,7,30640.0,30640.0,52284393.81156174,52284393.81156174,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,8,11500.0,11500.0,36831741.13019621,36831741.13019621,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,9,21480.0,21480.0,33365897.641140264,33365897.641140264,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,10,0.0,0.0,18155643.884772055,18155643.884772055,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,11,0.0,0.0,26287896.838338178,26287896.838338178,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,12,0.0,0.0,33949546.109482825,33949546.109482825,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,13,0.0,30640.0,45554780.8070362,36824663.0579835,8730117.749052696,suboptimal
1,linear-4pc-0pc,linear,0.04,NHF,14,0.0,0.0,25726098.050727926,25726098.050727926,0.0,optimal
1,linear-4pc-0pc,linear,0.04,NHF,15,45420.0,11500.0,34788667.06893903,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,1,10121.666006311607,10121.666006311607,28999258.47552542,28999258.475525405,1.4901161193847656e-08,optimal
1,linear-4pc-0pc,linear,0.04,NDY,2,10121.666006311607,10196.41544899439,30215791.00017499,30215791.000174966,2.60770320892334e-08,optimal
1,linear-4pc-0pc,linear,0.04,NDY,3,10121.666006311616,10024.145264096724,30942410.059213225,30942410.05921321,1.4901161193847656e-08,optimal
1,linear-4pc-0pc,linear,0.04,NDY,4,10121.666006311616,9834.832459109426,31813956.238330193,31512797.446174003,301158.7921561897,suboptimal
1,linear-4pc-0pc,linear,0.04,NDY,5,10121.666006311616,9811.242648596573,32574562.729508203,32102335.36427324,472227.3652349636,suboptimal
1,linear-4pc-0pc,linear,0.04,NDY,6,10121.666006311618,9766.518647716974,32534482.928973816,31804199.700772952,730283.228200864,suboptimal
1,linear-4pc-0pc,linear,0.04,NDY,7,10121.66600631161,9493.01927474,32299881.867314845,30744571.528442,1555310.3388728462,suboptimal
1,linear-4pc-0pc,linear,0.04,NDY,8,10121.666006311618,9354.666349608913,33309042.73759731,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,9,10121.666006311598,9354.666348230036,32370392.434058115,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,10,10121.666006311598,9354.666347220069,31404657.63557109,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,11,10121.666006311598,9273.955058190804,31211219.222949866,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,12,10121.666006311598,8756.91601269978,31004309.235659413,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,13,10121.6660063116,8756.91601075125,31301116.810426597,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,14,10121.666006311592,8756.9160143225,31990658.65001688,,,infeasible
1,linear-4pc-0pc,linear,0.04,NDY,15,14534.935108188027,9525.141267152716,33211935.677033268,,,infeasible
1,linear-4pc-0pc,linear,0.04,-10%,1,15108.304397098342,15108.304397098342,33059074.345976222,33059074.34597622,3.725290298461914e-09,optimal
1,linear-4pc-0pc,linear,0.04,-10%,2,13597.473957388505,13597.47395699858,32198221.10379377,32198221.103793774,-3.725290298461914e-09,optimal
1,linear-4pc-0pc,linear,0.04,-10%,3,12237.726561649653,12237.726559166244,30734570.55439367,30734570.554393668,3.725290298461914e-09,optimal
1,linear-4pc-0pc,linear,0.04,-10%,4,11013.953905484688,9045.858700573457,29638840.36349452,29547374.539567806,91465.82392671332,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,5,9912.558514936216,8141.272828785654,30353762.85929643,29838474.85762175,515288.0016746782,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,6,8921.302663442595,7327.14554294337,31172610.588669553,30519272.49970875,653338.088960804,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,7,8029.1723970983385,8029.172397799999,33276200.95028573,33276200.95028573,0.0,optimal
1,linear-4pc-0pc,linear,0.04,-10%,8,10170.273946582722,11257.140065529999,36149739.80557123,35699914.90765054,449824.8979206905,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,9,9153.246551924449,10917.875820542104,34217566.20558725,33589890.799375944,627675.4062113091,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,10,8237.921896732005,9826.08823894,31807865.323984325,31327029.36442836,480835.9595559649,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,11,7414.1297070588025,8843.479420439999,31021017.396310262,30662402.572434515,358614.8238757476,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,12,6672.716736352923,7959.131472880001,31407107.530664206,30992863.630622208,414243.90004199743,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,13,6005.445062717629,10215.769854157894,32807288.186299626,31574314.664355885,1232973.5219437405,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,14,5404.900556445869,9194.19286902,32304126.701591607,31038192.265685603,1265934.4359060042,suboptimal
1,linear-4pc-0pc,linear,0.04,-10%,15,34198.38006923314,10236.426907988887,33258870.00354882,,,infeasible
1,linear-4pc-0pc,linear,0.04,-20%,1,19188.383641252512,19188.383641252512,35689527.96538089,35689527.965380885,7.450580596923828e-09,optimal
1,linear-4pc-0pc,linear,0.04,-20%,2,15350.706913001988,15350.706912960954,31728699.788515102,31728699.788515106,-3.725290298461914e-09,optimal
1,linear-4pc-0pc,linear,0.04,-20%,3,12280.56553040159,12280.56553193933,28934538.565723762,28934538.565723762,0.0,optimal
1,linear-4pc-0pc,linear,0.04,-20%,4,9824.45242432127,8729.485509589827,27445782.971606687,27434731.971963122,11050.999643564224,suboptimal
1,linear-4pc-0pc,linear,0.04,-20%,5,7859.56193945702,5504.800226842538,27600318.179774087,27008377.638179477,591940.5415946096,suboptimal
