landbase,discount_rate,period,projected_mcf,realized_mcf
3,0.06,11,7090.91312890625,7090.913128906251
3,0.06,12,7090.91312890625,7090.91312890625
3,0.06,13,7090.913128906251,7090.91312890625
3,0.06,14,7090.913128906249,7090.913128906251
3,0.06,15,7090.91312890625,7090.91312890625
4,0.0,1,11460.23022949219,11460.23022949219
4,0.0,2,11460.23022949219,10929.254306273555
4,0.0,3,11460.230229492188,11460.230228108112
4,0.0,4,10929.254311523431,11460.23022880015
4,0.0,5,11460.23022949219,11460.23022949219
4,0.0,6,11460.23022949219,11460.23022949219
4,0.0,7,11460.230229492188,11460.230229492192
4,0.0,8,11460.23022949219,11460.23022949219
4,0.0,9,11460.230229492188,11460.230228072178
4,0.0,10,11460.230229492192,11253.775459207664
4,0.0,11,11460.23022949219,11103.1859103606
4,0.0,12,8844.973911209208,11460.230228683773
4,0.0,13,11460.23022949219,11460.23022462
4,0.0,14,11460.23022949219,11460.2302317
4,0.0,15,11460.23022949219,11460.230229492192
4,0.02,1,11460.23022949219,11460.230229492186
4,0.02,2,11460.23022949219,11460.230229492192
4,0.02,3,11460.230229492188,11460.230229492192
4,0.02,4,10929.254311523431,10929.25431308315
4,0.02,5,11460.23022949219,11460.23022949219
4,0.02,6,11460.23022949219,11460.23022949219
4,0.02,7,11460.230229492188,11460.230229492185
4,0.02,8,11460.23022949219,11460.23022949219
4,0.02,9,11460.230229492188,11460.23022949219
4,0.02,10,11460.230229492192,11460.23022949219
4,0.02,11,11460.23022949219,11460.23022949219
4,0.02,12,8844.973911209208,11460.2302331675
4,0.02,13,11460.23022949219,11460.23022949219
4,0.02,14,11460.23022949219,11460.23022424
4,0.02,15,11460.23022949219,11460.23022949219
4,0.04,1,11238.990263671876,11238.990263671876
4,0.04,2,11238.990263671878,11238.990263671876
4,0.04,3,11238.990263671876,11238.990263671878
4,0.04,4,11238.990263671876,11238.990263671876
4,0.04,5,11238.990263671876,11238.990263671876
4,0.04,6,11238.990263671876,11238.990263671876
4,0.04,7,11238.99026367187,11238.990263671876
4,0.04,8,11238.990263671876,11238.990263671876
4,0.04,9,11238.990263671874,11238.990263671876
4,0.04,10,11238.990263671878,11238.990263671876
4,0.04,11,11238.990263671876,11238.990263671876
4,0.04,12,10814.686182771513,10814.6862006425
4,0.04,13,11238.990263671876,11238.990263671876
4,0.04,14,11238.990263671873,11238.99026328
4,0.04,15,11238.990263671876,11238.990263671876
4,0.06,1,11238.990263671876,11238.990263671876
4,0.06,2,11238.990263671878,11238.990263671876
4,0.06,3,11238.990263671876,11238.990263671878
4,0.06,4,11238.990263671876,11238.990263671876
4,0.06,5,11238.990263671876,11238.990263671876
4,0.06,6,11238.990263671876,11238.990263671876
