landbase,discount_rate,period,announced,realized,obj_free,obj_fixed,objective_gap,tail_status
1,0.0,1,9396.771439453125,9396.771439453125,172298433.51147836,172374657.96049538,-76224.44901701808,optimal
1,0.0,2,9396.771439453127,9396.771439453125,174901016.2295778,174985888.3029426,-84872.07336479425,optimal
1,0.0,3,9396.771439453125,9396.771439453125,177965223.32993957,178058809.13002267,-93585.8000831008,optimal
1,0.0,4,9396.771439453125,9396.771439453125,180071282.88293022,180171137.67638865,-99854.79345843196,optimal
1,0.0,5,9396.771439453125,9396.771439453123,180884978.4121103,180929440.5677394,-44462.155629098415,optimal
1,0.0,6,9396.771439453127,9396.771439453125,180805892.32685915,180831171.50518793,-25279.17832878232,optimal
1,0.0,7,9396.771439453127,9396.771439453125,180513461.7789279,180521063.15875447,-7601.379826575518,optimal
1,0.0,8,9396.771439453125,9396.771439453125,181375768.25400558,181395409.22978315,-19640.975777566433,optimal
1,0.0,9,9396.771439453129,9396.771439453125,181437195.765415,181462149.38710806,-24953.6216930449,optimal
1,0.0,10,9396.771439453125,8989.339627665113,181012133.83912987,180972200.7346827,39933.10444715619,suboptimal
1,0.0,11,9396.771439453127,9210.020541193528,180790986.44003412,180787491.12515026,3495.3148838579655,suboptimal
1,0.0,12,9396.771439453125,9396.771439453125,181165379.9454646,181173050.80607325,-7670.860608637333,optimal
1,0.0,13,9396.771439453125,9396.771439453125,180871424.39138,180880071.38332513,-8646.991945117712,optimal
1,0.0,14,9396.771439453127,9396.771434240001,180634849.97421116,180634885.48314705,-35.508935898542404,optimal
1,0.0,15,9396.771439453125,9396.771439453125,180802075.02148557,180815737.60874033,-13662.58725476265,optimal
1,0.02,1,9620.504092773439,9620.504092773439,46544556.87472993,46607223.13962163,-62666.26489169896,optimal
1,0.02,2,9620.504092773439,9620.504092773437,48515600.533781186,48555850.48287362,-40249.94909243286,optimal
1,0.02,3,9620.504092773435,9620.504092773435,50188562.626767196,50227607.420419835,-39044.79365263879,optimal
1,0.02,4,9620.504092773435,9620.504092773437,51933170.344381,51971174.54428054,-38004.19989953935,optimal
1,0.02,5,9620.504092773443,9620.504092773437,53098008.495410286,53133729.88344876,-35721.38803847134,optimal
1,0.02,6,9620.504092773423,9620.504092773437,53517438.227411315,53537459.860340826,-20021.63292951137,optimal
1,0.02,7,9620.504092773439,9620.504094556,53552583.40112204,53552583.40254522,-0.001423180103302002,optimal
1,0.02,8,9620.504092773437,9620.504092773437,54209484.20495765,54216472.21854964,-6988.013591989875,optimal
1,0.02,9,9620.504092773432,9620.50409532,52974255.74710255,53038447.916777685,-64192.16967513412,optimal
1,0.02,10,9620.504092773437,9620.504092773437,52059249.54906474,52107567.94870325,-48318.39963851124,optimal
1,0.02,11,9620.504092773437,9620.50409532,52023055.493235245,52065812.620397985,-42757.127162739635,optimal
1,0.02,12,9620.504092773443,9620.504092773437,52079117.508369036,52108883.111628264,-29765.60325922817,optimal
1,0.02,13,9620.504092773444,9620.504092773437,52032817.66830419,52044624.08177711,-11806.413472920656,optimal
1,0.02,14,9620.504092773424,9257.774044936667,52147753.92575767,52007250.391218126,140503.5345395431,suboptimal
1,0.02,15,9620.504092773437,9620.504092773437,52672812.085013054,52674907.37081903,-2095.285805977881,optimal
1,0.04,1,9396.771439453125,9396.771439453125,20507339.65048818,20558821.11684443,-51481.46635625139,optimal
1,0.04,2,9396.771439453127,9396.771439453127,21216746.863600485,21264760.399579104,-48013.53597861901,optimal
1,0.04,3,9396.771439453127,9396.771439453125,22489959.803579092,22538477.2690129,-48517.46543380618,optimal
1,0.04,4,9396.771439453125,9396.771439453125,23791860.231496826,23838629.45260757,-46769.22111074254,optimal
1,0.04,5,9396.771439453125,9396.771439453125,24629006.49739364,24671689.234783676,-42682.7373900339,optimal
1,0.04,6,9396.771439453125,9396.771439453125,24980301.65513189,25005529.124837156,-25227.469705265015,optimal
1,0.04,7,9396.771439453129,9396.77143110915,25498677.318558384,25498677.31439049,0.004167892038822174,optimal
