landbase,discount_rate,flow_policy,flow_denominator,period,announced,realized,obj_free,obj_fixed,objective_gap,tail_status,announced_revenue,realized_revenue
1,0.0,NHF,volume,1,7503.016,7503.016,207518643.40463144,207518643.40463144,0.0,optimal,7557824.902845727,7557824.902845727
1,0.0,NHF,volume,2,0.0,0.0,204273615.73108616,204273615.73108616,0.0,optimal,0.0,0.0
1,0.0,NHF,volume,3,41064.2,0.0,209037626.97298363,204029072.48673967,5008554.486243963,suboptimal,41222611.492067836,0.0
1,0.0,NHF,volume,4,0.0,0.0,211249743.1165343,211249743.1165343,0.0,optimal,0.0,0.0
1,0.0,NHF,volume,5,16890.566,57954.765999999996,219691637.92913258,217343049.68228126,2348588.246851325,suboptimal,21649933.999122873,71949353.96238863
1,0.0,NHF,volume,6,0.0,0.0,156394544.70468497,156394544.70468497,0.0,optimal,0.0,0.0
1,0.0,NHF,volume,7,0.0,0.0,191087127.9633135,191087127.9633135,0.0,optimal,0.0,0.0
1,0.0,NHF,volume,8,11500.0,11500.0,201041566.59601593,201041566.59601593,0.0,optimal,17247007.220903523,17247007.220903523
1,0.0,NHF,volume,9,30640.0,0.0,202151684.08510658,,,infeasible,37530847.49427636,0.0
1,0.0,NHF,volume,10,0.0,0.0,202151684.08510658,202151684.08510658,0.0,optimal,0.0,0.0
1,0.0,NHF,volume,11,0.0,30640.0,208381462.75415418,208381462.75415418,0.0,optimal,0.0,37530847.49427636
1,0.0,NHF,volume,12,0.0,0.0,180995117.0573666,180995117.0573666,0.0,optimal,0.0,0.0
1,0.0,NHF,volume,13,21480.0,21480.0,189647377.79530764,189647377.79530764,0.0,optimal,27532563.580235224,27532563.580235224
1,0.0,NHF,volume,14,0.0,0.0,167270085.62108862,167270085.62108862,0.0,optimal,0.0,0.0
1,0.0,NHF,volume,15,42140.0,11500.0,219398691.3060101,,,infeasible,54777854.71517988,17247007.220903523
1,0.0,NHF,revenue,1,7503.016,7503.016,207518643.40463144,207518643.40463144,0.0,optimal,7557824.902845727,7557824.902845727
1,0.0,NHF,revenue,2,0.0,0.0,204273615.73108616,204273615.73108616,0.0,optimal,0.0,0.0
1,0.0,NHF,revenue,3,41064.2,0.0,209037626.97298363,204029072.48673967,5008554.486243963,suboptimal,41222611.492067836,0.0
1,0.0,NHF,revenue,4,0.0,0.0,211249743.1165343,211249743.1165343,0.0,optimal,0.0,0.0
1,0.0,NHF,revenue,5,16890.566,57954.765999999996,219691637.92913258,217343049.68228126,2348588.246851325,suboptimal,21649933.999122873,71949353.96238863
1,0.0,NHF,revenue,6,0.0,0.0,156394544.70468497,156394544.70468497,0.0,optimal,0.0,0.0
1,0.0,NHF,revenue,7,0.0,0.0,191087127.9633135,191087127.9633135,0.0,optimal,0.0,0.0
1,0.0,NHF,revenue,8,11500.0,11500.0,201041566.59601593,201041566.59601593,0.0,optimal,17247007.220903523,17247007.220903523
1,0.0,NHF,revenue,9,30640.0,0.0,202151684.08510658,,,infeasible,37530847.49427636,0.0
1,0.0,NHF,revenue,10,0.0,0.0,202151684.08510658,202151684.08510658,0.0,optimal,0.0,0.0
1,0.0,NHF,revenue,11,0.0,30640.0,208381462.75415418,208381462.75415418,0.0,optimal,0.0,37530847.49427636
1,0.0,NHF,revenue,12,0.0,0.0,180995117.0573666,180995117.0573666,0.0,optimal,0.0,0.0
1,0.0,NHF,revenue,13,21480.0,21480.0,189647377.79530764,189647377.79530764,0.0,optimal,27532563.580235224,27532563.580235224
1,0.0,NHF,revenue,14,0.0,0.0,167270085.62108862,167270085.62108862,0.0,optimal,0.0,0.0
1,0.0,NHF,revenue,15,42140.0,11500.0,219398691.3060101,,,infeasible,54777854.71517988,17247007.220903523
