landbase,discount_rate,flow_policy,flow_denominator,period,announced,realized,obj_free,obj_fixed,objective_gap,tail_status,announced_revenue,realized_revenue
1,0.0,NDY,volume,1,9571.608521200547,9571.608521200547,183767276.75771317,183767276.75771317,0.0,optimal,9259668.360233052,9259668.360233052
1,0.0,NDY,volume,2,9571.608521200546,9314.362245645418,184389852.5134932,184355882.9708115,33969.54268172383,suboptimal,8884353.595265811,8464699.032461189
1,0.0,NDY,volume,3,9571.608521200547,9026.544873548777,185475967.80698472,184860485.6762512,615482.1307335198,suboptimal,9697596.688119471,9061366.164153151
1,0.0,NDY,volume,4,9571.60852120055,8115.692664067959,186552442.04309306,183235762.03883988,3316680.004253179,suboptimal,10922963.124441933,8999356.678453373
1,0.0,NDY,volume,5,9571.608521200547,8126.904997418754,188765854.31178144,182556058.05183432,6209796.259947121,suboptimal,11724235.62937643,9954622.456220485
1,0.0,NDY,volume,6,9571.60852120055,8147.978967515678,188936803.34920958,177037631.82060376,11899171.528605819,suboptimal,11984247.02337905,10192931.018379955
1,0.0,NDY,volume,7,9571.608521200553,8242.55490378682,187311355.0989683,179894197.7096319,7417157.389336407,suboptimal,11724235.629376438,10477322.470363837
1,0.0,NDY,volume,8,9571.608521200547,8783.351635708754,189562535.11733344,186117550.81202713,3444984.3053063154,suboptimal,14354921.850505002,12064472.033940535
1,0.0,NDY,volume,9,9571.608521200547,8353.915368063597,192043803.22705975,187879513.30119672,4164289.9258630276,suboptimal,11724235.62937643,10375325.75680763
1,0.0,NDY,volume,10,9571.608521200547,8606.359412473515,191678951.24033538,188443845.3074696,3235105.9328657687,suboptimal,4628378.410846377,10955396.903008647
1,0.0,NDY,volume,11,9571.608521200547,8384.563906697,192197449.34883654,188520425.44377586,3677023.9050606787,suboptimal,11862439.67796295,11146736.082349593
1,0.0,NDY,volume,12,9571.60852120055,8324.625677669563,193046063.82497466,190540689.36091274,2505374.464061916,suboptimal,12158540.71458182,10975431.34692467
1,0.0,NDY,volume,13,9571.608521200551,8533.12566803013,192879823.2115609,189874283.92994544,3005539.281615466,suboptimal,12284351.572796404,10880145.144108765
1,0.0,NDY,volume,14,9571.608521200547,8361.439520349575,190801673.20062098,187567616.89294213,3234056.3076788485,suboptimal,12054896.232649067,10432822.438674593
1,0.0,NDY,volume,15,22506.715444131154,8182.490114986765,192533282.62869275,,,infeasible,30502212.618802957,11120850.893799268
1,0.0,NDY,revenue,1,9571.608521200547,12215.376161533015,187114577.81435615,185909811.06993333,1204766.7444228232,suboptimal,9259668.360233052,10991177.323113028
1,0.0,NDY,revenue,2,9571.608521200546,11555.324814253288,187468845.9984809,186615897.95448563,852948.0439952612,suboptimal,8884353.595265811,10991177.322931997
1,0.0,NDY,revenue,3,9571.608521200547,10345.587406382385,186549446.91017854,186250512.7546508,298934.1555277407,suboptimal,9697596.688119471,10385497.107225534
1,0.0,NDY,revenue,4,9571.60852120055,8801.297086208955,185396563.94315952,185216694.06578684,179869.8773726821,suboptimal,10922963.124441933,9759612.024554545
1,0.0,NDY,revenue,5,9571.608521200547,7830.198386796261,185711797.2171908,185063467.7405461,648329.4766446948,suboptimal,11724235.62937643,9715217.195001949
1,0.0,NDY,revenue,6,9571.60852120055,7662.801577965483,184838165.15500382,184097092.61964712,741072.5353567004,suboptimal,11984247.02337905,9822000.542274743
1,0.0,NDY,revenue,7,9571.608521200553,8184.720990410378,186485968.31921893,185930061.01748583,555907.3017331064,suboptimal,11724235.629376438,10189017.327370342
1,0.0,NDY,revenue,8,9571.608521200547,6903.594383688126,191498614.6609186,190372566.53086004,1126048.1300585568,suboptimal,14354921.850505002,10353594.972665923
1,0.0,NDY,revenue,9,9571.608521200547,8557.494352461463,192489555.20090684,192195470.19930172,294085.0016051233,suboptimal,11724235.62937643,11494198.845688049
1,0.0,NDY,revenue,10,9571.608521200547,8791.831440860507,191993625.93570358,191767684.01659504,225941.91910853982,suboptimal,4628378.410846377,10895632.08841992
1,0.0,NDY,revenue,11,9571.608521200547,8966.400484768063,191961928.94320953,191795700.16764674,166228.77556279302,suboptimal,11862439.67796295,11086667.531747703
1,0.0,NDY,revenue,12,9571.60852120055,8323.018975758687,192387947.71179706,191997372.01764658,390575.69415047765,suboptimal,12158540.71458182,10363140.599462284
1,0.0,NDY,revenue,13,9571.608521200551,8477.176170244958,194660816.71225008,194298303.37706184,362513.3351882398,suboptimal,12284351.572796404,10691862.855226628
1,0.0,NDY,revenue,14,9571.608521200547,8346.093148181635,192896749.19540963,192465760.67990673,430988.5155028999,suboptimal,12054896.232649067,10579538.636690293
1,0.0,NDY,revenue,15,22506.715444131154,8318.975911842297,193444341.35014325,,,infeasible,30502212.618802957,11136483.257461362
1,0.0,-10%,volume,1,13970.019143800462,13970.019143800462,193178962.0532951,193178962.05329508,2.9802322387695312e-08,optimal,12235294.491797626,12235294.491797626
1,0.0,-10%,volume,2,12573.017229420417,12573.017229459632,192553846.25997615,192553846.25997615,0.0,optimal,12315938.177567432,12136338.824471882
1,0.0,-10%,volume,3,11315.715506478373,8019.387474795332,189272032.13454086,189020261.8492166,251770.2853242457,suboptimal,11537918.103386682,8050323.500222649
1,0.0,-10%,volume,4,10184.143955830536,1581.8592482224835,187018510.02715895,186864013.04628652,154496.98087242246,suboptimal,11470535.656365069,1754097.423241831
1,0.0,-10%,volume,5,9165.729560247484,11886.978728960363,195603851.5445585,195250102.32465556,353749.21990293264,suboptimal,11403546.728705093,14560325.90875713
1,0.0,-10%,volume,6,8249.156604222728,10856.079074021358,190755563.95221502,190737121.1771444,18442.775070607662,suboptimal,10232608.255963119,13884584.388633616
1,0.0,-10%,volume,7,7424.24094380046,7424.2409413,185368407.89755237,185368407.89755237,0.0,optimal,9093931.28663634,9093931.283573532
1,0.0,-10%,volume,8,6681.816849420415,10131.521471850458,192937242.48333517,192655889.77734068,281352.7059944868,suboptimal,9147391.22528918,14135445.701189045
1,0.0,-10%,volume,9,6013.635164478373,9498.365419517588,192806209.07495576,192254459.5683271,551749.5066286623,suboptimal,7366084.342175435,13101788.23434217
1,0.0,-10%,volume,10,5412.271648030535,6077.335953740829,188975420.51314822,188956697.05776748,18723.45538073778,suboptimal,6937323.708701359,7716724.626506443
1,0.0,-10%,volume,11,4871.044483227482,8869.453884319999,190262559.6923702,189302743.86624652,959815.8261236846,suboptimal,6243591.337831222,10864168.442882864
1,0.0,-10%,volume,12,4383.940034904734,4126.888745469525,195195037.25653827,195192837.40863654,2199.8479017317295,suboptimal,5619232.204048101,5124172.992582208
1,0.0,-10%,volume,13,3945.546031414261,10034.627243757644,202036910.82049826,200514208.55311215,1522702.2673861086,suboptimal,5057308.9836432915,12291385.925175551
1,0.0,-10%,volume,14,3550.9914282728314,12525.04673234296,199038389.13136315,198270856.6822789,767532.4490842521,suboptimal,4512684.183130333,15860447.429284161
1,0.0,-10%,volume,15,53338.69198855002,11622.909030777628,194258808.08448407,,,infeasible,70005573.3680548,15948796.830702534
1,0.0,-10%,revenue,1,13970.019143800462,16177.703004160436,194084864.2860266,193513443.59471595,571420.6913106441,suboptimal,12235294.491797626,14489703.786328224
1,0.0,-10%,revenue,2,12573.017229420417,14100.74547428147,191362676.64748803,191336759.00687897,25917.640609055758,suboptimal,12315938.177567432,13040733.408437148
1,0.0,-10%,revenue,3,11315.715506478373,4634.63716859047,185902429.37432417,185458682.35624418,443747.0180799961,suboptimal,11537918.103386682,4652515.997085107
1,0.0,-10%,revenue,4,10184.143955830536,11159.673432036783,187564596.77143875,187512080.3353202,52516.43611854315,suboptimal,11470535.656365069,12374776.348371329
1,0.0,-10%,revenue,5,9165.729560247484,8122.965963554174,186141752.76800203,186076542.87556568,65209.89243635535,suboptimal,11403546.728705093,10269944.840945473
1,0.0,-10%,revenue,6,8249.156604222728,2664.054042962309,185034447.06845894,184883032.2192443,151414.84921464324,suboptimal,10232608.255963119,3414722.4077766514
1,0.0,-10%,revenue,7,7424.24094380046,5559.907547942196,196116561.9935862,196115587.35036853,974.6432176828384,suboptimal,9093931.28663634,7119765.106565066
1,0.0,-10%,revenue,8,6681.816849420415,11380.470952531525,200378247.8635028,199378879.1775678,999368.6859349906,suboptimal,9147391.22528918,15771722.975231994
1,0.0,-10%,revenue,9,6013.635164478373,10127.463057141475,199068987.53017706,199024171.54759505,44815.98258200288,suboptimal,7366084.342175435,13646617.236387083
1,0.0,-10%,revenue,10,5412.271648030535,7665.8995991807615,196394467.9951432,195779782.07099715,614685.9241460562,suboptimal,6937323.708701359,9438882.691836126
1,0.0,-10%,revenue,11,4871.044483227482,7508.617929224548,197540439.68490255,197534871.4052831,5568.2796194553375,suboptimal,6243591.337831222,9230103.139333008
1,0.0,-10%,revenue,12,4383.940034904734,9781.568227463931,200513924.93304566,200013443.84351134,500481.0895343125,suboptimal,5619232.204048101,12187028.090091513
1,0.0,-10%,revenue,13,3945.546031414261,7440.123482624522,196995498.70804566,196692286.14883903,303212.55920663476,suboptimal,5057308.9836432915,9309708.662620338
1,0.0,-10%,revenue,14,3550.9914282728314,12335.883327333357,196818313.32420182,196217231.5749022,601081.7492996156,suboptimal,4512684.183130333,15543631.880970448
1,0.0,-10%,revenue,15,53338.69198855002,10485.081291591754,194252863.7698751,,,infeasible,70005573.3680548,14684662.74411408
1,0.0,-20%,volume,1,17742.69830427617,17742.69830427617,195808938.44049197,195808938.44049197,0.0,optimal,15680613.666533109,15680613.666533109
1,0.0,-20%,volume,2,14194.158643420938,14194.15864566092,191478653.32050392,191478653.32050395,-2.9802322387695312e-08,optimal,13462599.522950688,13232355.193612523
1,0.0,-20%,volume,3,11355.32691473675,0.0,185139986.6014256,184108766.66532567,1031219.9360999167,suboptimal,11602598.227854984,0.0
1,0.0,-20%,volume,4,9084.261531789401,8011.491819832939,190965845.03549686,190947998.34596738,17846.68952947855,suboptimal,10253189.371796358,8883810.094534697
1,0.0,-20%,volume,5,7267.409225431524,11026.176979039647,194058225.68022415,193977126.60045457,81099.07976958156,suboptimal,9060719.868893817,13642859.126702335
1,0.0,-20%,volume,6,5813.927380345218,2333.9700733489008,190550119.6853364,190550119.6853364,0.0,optimal,7166083.691808546,2991628.4654955715
1,0.0,-20%,volume,7,8858.823625098707,11482.127710881214,197410621.0642675,197406656.81115675,3964.2531107366085,suboptimal,10851147.46906893,14349782.819764182
1,0.0,-20%,volume,8,10841.360631458478,13402.304494123426,197512834.82193232,196700574.9640964,812259.8578359187,suboptimal,15752309.839614592,18843455.83555072
1,0.0,-20%,volume,9,8673.088505166785,10556.04868339572,193948079.69018278,193886345.8829385,61733.80724427104,suboptimal,10623641.057172844,13864886.944846533
1,0.0,-20%,volume,10,6938.470804133427,3478.258144058034,186654058.0913863,186654058.0913863,0.0,optimal,8893570.231117757,4306255.098034035
1,0.0,-20%,volume,11,5550.776643306742,7336.483156789586,196029929.26498088,196029929.26498088,0.0,optimal,7114856.184894205,9145244.2260035
1,0.0,-20%,volume,12,4440.621314645393,7060.666589245,198220771.42075896,197949207.62492025,271563.79583871365,suboptimal,5691884.947915363,8648590.109950604
1,0.0,-20%,volume,13,3552.4970517163147,7995.072231384145,202812439.2767785,202243183.59496084,569255.6818176508,suboptimal,4553507.958332291,9880156.343925348
1,0.0,-20%,volume,14,2841.9976413730465,7993.069129605888,200927055.05682427,200733666.51423523,193388.5425890386,suboptimal,3537899.7266501067,9985290.275387237
1,0.0,-20%,volume,15,47321.971510248404,15442.194846153563,204045907.3533503,,,infeasible,61564316.675888374,21342111.63466292
1,0.0,-20%,revenue,1,17742.69830427617,20423.27082978045,196515984.64581254,196035105.55434433,480879.091468215,suboptimal,15680613.666533109,17889382.31968857
1,0.0,-20%,revenue,2,14194.158643420938,15083.755898983298,189982145.43091983,189968584.7748576,13560.656062215567,suboptimal,13462599.522950688,14036996.643629165
1,0.0,-20%,revenue,3,11355.32691473675,0.0,182445293.66233426,181071591.95310843,1373701.7092258334,suboptimal,11602598.227854984,0.0
1,0.0,-20%,revenue,4,9084.261531789401,7126.435097591142,188199149.16430342,188165216.42053238,33932.7437710464,suboptimal,10253189.371796358,7902385.408582583
1,0.0,-20%,revenue,5,7267.409225431524,11533.260075805996,192526561.05921346,192521538.6282663,5022.43094715476,suboptimal,9060719.868893817,14445554.560461383
1,0.0,-20%,revenue,6,5813.927380345218,0.0,188123250.64408463,188063792.90189275,59457.74219188094,suboptimal,7166083.691808546,0.0
1,0.0,-20%,revenue,7,8858.823625098707,13816.031794688754,202245367.33933565,201778961.72830296,466405.6110326946,suboptimal,10851147.46906893,17405853.326415755
1,0.0,-20%,revenue,8,10841.360631458478,12097.421820478603,194662539.86463895,194383677.63927177,278862.22536718845,suboptimal,15752309.839614592,16359104.928612655
1,0.0,-20%,revenue,9,8673.088505166785,7450.306987163264,196048042.16750497,195990177.99455234,57864.172952622175,suboptimal,10623641.057172844,9948378.777697654
1,0.0,-20%,revenue,10,6938.470804133427,6293.281873307891,195776955.0833566,195757833.08123365,19122.002122938633,suboptimal,8893570.231117757,7911143.085489727
1,0.0,-20%,revenue,11,5550.776643306742,5611.773493039058,199664374.6214592,199664198.72773024,175.893728941679,optimal,7114856.184894205,6978496.929027879
1,0.0,-20%,revenue,12,4440.621314645393,12446.286910009167,204762063.01691654,204025617.79409504,736445.2228215039,suboptimal,5691884.947915363,16161431.07993976
1,0.0,-20%,revenue,13,3552.4970517163147,3101.563512158464,196618653.57469007,196618653.57469007,0.0,optimal,4553507.958332291,3799096.1869657794
1,0.0,-20%,revenue,14,2841.9976413730465,6490.54857366,201281628.0093117,200920503.8051784,361124.204133302,suboptimal,3537899.7266501067,7950254.199485197
1,0.0,-20%,revenue,15,47321.971510248404,10811.403211490775,203647120.07367647,,,infeasible,61564316.675888374,14951668.71259157
1,0.0,+/-10%,volume,1,13970.019143800459,13970.019143800459,186293834.07432353,186293834.07432353,0.0,optimal,12116862.34812533,12116862.34812533
1,0.0,+/-10%,volume,2,12573.01722942044,12573.017230032845,185953588.09359273,185953588.09359273,0.0,optimal,12162620.428879306,12267161.591325067
1,0.0,+/-10%,volume,3,11315.71550647836,9775.118218006539,184234538.38720876,184202135.60921922,32402.777989536524,suboptimal,11359367.626261441,9812827.245871538
1,0.0,+/-10%,volume,4,10184.143955830503,9803.274229464647,181404147.2338752,181339805.39297774,64341.84089744091,suboptimal,12019567.707707893,10870687.821662901
1,0.0,+/-10%,volume,5,9165.729560247466,9140.215323645749,179617941.88309962,179617941.88309962,0.0,optimal,11227075.66251398,11576599.68627929
1,0.0,+/-10%,volume,6,8249.156604222771,8317.35427281405,176272633.59149104,176272633.59149107,-2.9802322387695312e-08,optimal,10403450.369372582,10660990.937411262
1,0.0,+/-10%,volume,7,7902.943573965603,6027.844531421427,178616464.65330687,178448225.1497504,168239.50355646014,suboptimal,9680292.755560523,7449003.449856498
1,0.0,+/-10%,volume,8,8693.237931362219,7067.868879932406,184840286.49675432,184605935.59736234,234350.89939197898,suboptimal,12071481.653834477,9300164.87430429
1,0.0,+/-10%,volume,9,8460.565017938834,8935.200935960558,190347614.04942185,190298064.22499958,49549.82442227006,suboptimal,10363321.651555872,12463696.07477825
1,0.0,+/-10%,volume,10,8468.530953056823,7340.617235837595,190582537.5879777,190578293.47339106,4244.114586651325,suboptimal,10758603.890398351,9698779.43067484
1,0.0,+/-10%,volume,11,9315.384048362534,8526.416948783093,191621700.10303292,191176237.8058971,445462.2971358299,suboptimal,12091003.696055565,10814407.932248874
1,0.0,+/-10%,volume,12,10246.922453198802,9379.058643325001,191215648.11922392,191066208.3929515,149439.726272434,suboptimal,13007326.894384583,11488381.84016009
1,0.0,+/-10%,volume,13,11271.614698518637,11381.07598795998,189149004.8733652,189149004.87336513,5.960464477539063e-08,optimal,14732422.773822729,14310650.816346556
1,0.0,+/-10%,volume,14,12398.776168370576,9896.720077335325,183401402.8824439,180618649.0327563,2782753.849687606,suboptimal,16171329.367811231,12416387.525313336
1,0.0,+/-10%,volume,15,13638.653785207607,8445.54961054319,184553856.94776624,,,infeasible,18129107.248039693,10825760.324727803
1,0.0,+/-10%,revenue,1,13970.019143800459,16310.896332093373,187236312.29820305,186718535.05269232,517777.24551072717,suboptimal,12116862.34812533,14217175.431777239
1,0.0,+/-10%,revenue,2,12573.01722942044,13504.57813369263,184196591.4971547,184168281.74249902,28309.754655689,suboptimal,12162620.428879306,12828763.511899158
1,0.0,+/-10%,revenue,3,11315.71550647836,10208.987487454913,181786282.45987588,181684754.26448435,101528.19539153576,suboptimal,11359367.626261441,10350293.247411732
1,0.0,+/-10%,revenue,4,10184.143955830503,7897.226274040892,178509349.91306892,178180187.48156208,329162.4315068424,suboptimal,12019567.707707893,8757102.930376839
1,0.0,+/-10%,revenue,5,9165.729560247466,7722.673283554093,178991776.26061884,178835633.82249928,156142.43811956048,suboptimal,11227075.66251398,9862025.34398423
1,0.0,+/-10%,revenue,6,8249.156604222771,8268.171194894514,178161323.35785046,178161323.3578505,-2.9802322387695312e-08,optimal,10403450.369372582,10597949.213952638
1,0.0,+/-10%,revenue,7,7902.943573965603,7275.371938799263,180794747.91762987,180725380.36336368,69367.55426618457,suboptimal,9680292.755560523,8954689.216475375
1,0.0,+/-10%,revenue,8,8693.237931362219,6991.144219969073,185178602.10238615,184748592.90847307,430009.19391307235,suboptimal,12071481.653834477,9052391.526850976
1,0.0,+/-10%,revenue,9,8460.565017938834,8435.223133536718,191333166.37271202,191333166.37271193,8.940696716308594e-08,optimal,10363321.651555872,11481076.712769844
1,0.0,+/-10%,revenue,10,8468.530953056823,7598.015379232804,190769820.8376512,190704730.26521978,65090.57243141532,suboptimal,10758603.890398351,9775534.015309758
1,0.0,+/-10%,revenue,11,9315.384048362534,7742.311145423937,192164534.91642565,191264921.7370328,899613.1793928444,suboptimal,12091003.696055565,10495389.457494546
1,0.0,+/-10%,revenue,12,10246.922453198802,9210.758607207057,192744947.33232477,191781228.88735962,963718.4449651539,suboptimal,13007326.894384583,11544928.40277589
1,0.0,+/-10%,revenue,13,11271.614698518637,11703.23433279716,190382865.20113152,190363062.71673527,19802.484396249056,suboptimal,14732422.773822729,14630220.077047411
1,0.0,+/-10%,revenue,14,12398.776168370576,10212.525288214505,185319309.36444697,184702101.4722957,617207.8921512663,suboptimal,16171329.367811231,12793715.276295451
1,0.0,+/-10%,revenue,15,13638.653785207607,9181.761813335694,184507815.8388281,182944100.6608279,1563715.178000182,suboptimal,18129107.248039693,11927956.757527124
1,0.0,+/-20%,volume,1,17259.40780822145,17259.40780822145,190552106.68184942,190552106.68184936,5.960464477539063e-08,optimal,15177106.865341932,15177106.865341932
1,0.0,+/-20%,volume,2,13807.526246577163,13753.857039984912,186168225.02607134,186168225.02607134,0.0,optimal,13225458.94508319,12949198.619106457
1,0.0,+/-20%,volume,3,11046.020997261725,8768.970764051714,182448873.83009332,182353269.58603942,95604.24405390024,suboptimal,11188139.262314525,8802798.42275766
1,0.0,+/-20%,volume,4,8836.816797809355,6559.163827606448,179697573.42726225,179511533.83600864,186039.59125360847,suboptimal,10080338.729304336,7273347.727715971
1,0.0,+/-20%,volume,5,7069.453438247491,10054.992838242304,182703057.7441201,182686083.00082543,16974.743294656277,suboptimal,8659353.095912345,12761652.03149036
1,0.0,+/-20%,volume,6,7438.556711882814,7438.556708916658,179129069.99093407,179129069.99093404,2.9802322387695312e-08,optimal,9333386.49716654,9534568.69336281
1,0.0,+/-20%,volume,7,8926.268054259404,7179.894894933305,184423857.32806972,184121051.40570483,302805.9223648906,suboptimal,10933759.95553005,8827406.447922349
1,0.0,+/-20%,volume,8,10711.521665111282,8178.6953201250035,190485764.4274888,189563587.69575205,922176.7317367494,suboptimal,15318654.76904772,11758236.556243844
1,0.0,+/-20%,volume,9,8569.217332089025,8350.020917889335,192059813.65826195,192038848.71818873,20964.940073221922,suboptimal,10496409.557308843,11157514.79618816
1,0.0,+/-20%,volume,10,6855.37386567122,6446.74178151342,192049676.40312034,192009084.78738362,40591.615736722946,suboptimal,8787058.511307066,8265760.024560195
1,0.0,+/-20%,volume,11,7989.506297185848,8007.271637671327,194165625.80903685,194165625.80903682,2.9802322387695312e-08,optimal,9940730.953719748,10006909.923623133
1,0.0,+/-20%,volume,12,9587.40755662301,9608.725964809999,194443744.01431695,194443744.01431698,-2.9802322387695312e-08,optimal,12138803.808450798,11769700.678837387
1,0.0,+/-20%,volume,13,11504.889067947624,12303.492650409898,192339853.600737,192339853.60073698,2.9802322387695312e-08,optimal,14143534.421718396,15394714.686215034
1,0.0,+/-20%,volume,14,13805.866881537131,9170.228231026318,185448833.6146426,184958414.53982982,490419.0748127699,suboptimal,18638308.730420813,11649119.274982791
1,0.0,+/-20%,volume,15,16567.040257844565,11387.202601628016,188398050.43891189,,,infeasible,22491062.579223067,15282816.141009133
1,0.0,+/-20%,revenue,1,17259.40780822145,18853.876628878606,190364619.44327432,190154120.6442332,210498.7990411222,suboptimal,15177106.865341932,16560174.553060021
1,0.0,+/-20%,revenue,2,13807.526246577163,11215.999675047282,184666007.1247156,184548976.58461583,117030.54009976983,suboptimal,13225458.94508319,10564099.526986744
1,0.0,+/-20%,revenue,3,11046.020997261725,9993.135019238787,183530739.324095,183448331.6251727,82407.6989223063,suboptimal,11188139.262314525,10181331.826616999
1,0.0,+/-20%,revenue,4,8836.816797809355,6863.103117195133,178902534.9226253,178791071.4486033,111463.47402200103,suboptimal,10080338.729304336,7610380.953199558
1,0.0,+/-20%,revenue,5,7069.453438247491,7923.634300051304,185473200.9108067,185329531.57440138,143669.33640530705,suboptimal,8659353.095912345,9919222.291629523
1,0.0,+/-20%,revenue,6,7438.556711882814,7979.198365873957,184860284.4190898,184818856.74532554,41427.67376425862,suboptimal,9333386.49716654,10188715.47573112
1,0.0,+/-20%,revenue,7,8926.268054259404,8390.272674780223,187254200.95805582,187228475.96610823,25724.991947591305,suboptimal,10933759.95553005,10352286.223338747
1,0.0,+/-20%,revenue,8,10711.521665111282,9518.871951301753,193234535.7529802,192924712.06633565,309823.68664455414,suboptimal,15318654.76904772,13656022.107320368
1,0.0,+/-20%,revenue,9,8569.217332089025,9285.627622106582,191722040.57143164,191675864.02006137,46176.5513702631,suboptimal,10496409.557308843,12140855.593071736
1,0.0,+/-20%,revenue,10,6855.37386567122,6624.423231475385,190044077.30360833,190030434.803811,13642.499797314405,suboptimal,8787058.511307066,8242132.970533974
1,0.0,+/-20%,revenue,11,7989.506297185848,7911.755297933132,192297329.75059822,192297329.75059822,0.0,optimal,9940730.953719748,10265019.406332646
1,0.0,+/-20%,revenue,12,9587.40755662301,9813.441397350114,191693347.2592317,191690541.69804752,2805.561184167862,suboptimal,12138803.808450798,12068791.889384396
1,0.0,+/-20%,revenue,13,11504.889067947624,11401.616318070524,192301262.43309912,192301262.4330991,2.9802322387695312e-08,optimal,14143534.421718396,14212156.350196928
1,0.0,+/-20%,revenue,14,13805.866881537131,8525.513844747838,187925326.1483779,186464160.15187433,1461165.9965035617,suboptimal,18638308.730420813,10783240.434164478
1,0.0,+/-20%,revenue,15,16567.040257844565,11147.860775295023,190624958.24532965,188074840.16762763,2550118.0777020156,suboptimal,22491062.579223067,15040326.135880612
1,0.02,NHF,volume,1,65457.782,65457.782,67141813.49642682,67141813.49642682,0.0,optimal,55882834.33066475,55882834.33066475
1,0.02,NHF,volume,2,0.0,0.0,25962661.66980824,25962661.66980824,0.0,optimal,0.0,0.0
1,0.02,NHF,volume,3,0.0,0.0,33060294.804001898,33060294.804001898,0.0,optimal,0.0,0.0
1,0.02,NHF,volume,4,0.0,0.0,40300314.88945998,40300314.88945998,0.0,optimal,0.0,0.0
1,0.02,NHF,volume,5,0.0,0.0,51050557.02804312,51050557.02804312,0.0,optimal,0.0,0.0
1,0.02,NHF,volume,6,0.0,0.0,62230344.1548087,62230344.1548087,0.0,optimal,0.0,0.0
1,0.02,NHF,volume,7,30640.0,30640.0,75858442.27906516,75858442.27906516,0.0,optimal,37530847.49427636,37530847.49427636
1,0.02,NHF,volume,8,11500.0,11500.0,55824650.27984606,55824650.27984606,0.0,optimal,17247007.220903523,17247007.220903523
