landbase,discount_rate,flow_policy,flow_denominator,period,projected_mcf,realized_mcf,projected_revenue,realized_revenue
1,0.0,NHF,revenue,14,0.0,0.0,0.0,0.0
1,0.0,NHF,revenue,15,42140.0,11500.0,54777854.71517988,17247007.220903523
1,0.0,NDY,volume,1,9571.608521200547,9571.608521200547,9259668.360233052,9259668.360233052
1,0.0,NDY,volume,2,9571.608521200546,9314.362245645418,8884353.595265811,8464699.032461189
1,0.0,NDY,volume,3,9571.608521200547,9026.544873548777,9697596.688119471,9061366.164153151
1,0.0,NDY,volume,4,9571.60852120055,8115.692664067959,10922963.124441933,8999356.678453373
1,0.0,NDY,volume,5,9571.608521200547,8126.904997418754,11724235.62937643,9954622.456220485
1,0.0,NDY,volume,6,9571.60852120055,8147.978967515678,11984247.02337905,10192931.018379955
1,0.0,NDY,volume,7,9571.608521200553,8242.55490378682,11724235.629376438,10477322.470363837
1,0.0,NDY,volume,8,9571.608521200547,8783.351635708754,14354921.850505002,12064472.033940535
1,0.0,NDY,volume,9,9571.608521200547,8353.915368063597,11724235.62937643,10375325.75680763
1,0.0,NDY,volume,10,9571.608521200547,8606.359412473515,4628378.410846377,10955396.903008647
1,0.0,NDY,volume,11,9571.608521200547,8384.563906697,11862439.67796295,11146736.082349593
1,0.0,NDY,volume,12,9571.60852120055,8324.625677669563,12158540.71458182,10975431.34692467
1,0.0,NDY,volume,13,9571.608521200551,8533.12566803013,12284351.572796404,10880145.144108765
1,0.0,NDY,volume,14,9571.608521200547,8361.439520349575,12054896.232649067,10432822.438674593
1,0.0,NDY,volume,15,22506.715444131154,8182.490114986765,30502212.618802957,11120850.893799268
1,0.0,NDY,revenue,1,9571.608521200547,12215.376161533015,9259668.360233052,10991177.323113028
1,0.0,NDY,revenue,2,9571.608521200546,11555.324814253288,8884353.595265811,10991177.322931997
1,0.0,NDY,revenue,3,9571.608521200547,10345.587406382385,9697596.688119471,10385497.107225534
1,0.0,NDY,revenue,4,9571.60852120055,8801.297086208955,10922963.124441933,9759612.024554545
1,0.0,NDY,revenue,5,9571.608521200547,7830.198386796261,11724235.62937643,9715217.195001949
1,0.0,NDY,revenue,6,9571.60852120055,7662.801577965483,11984247.02337905,9822000.542274743
1,0.0,NDY,revenue,7,9571.608521200553,8184.720990410378,11724235.629376438,10189017.327370342
1,0.0,NDY,revenue,8,9571.608521200547,6903.594383688126,14354921.850505002,10353594.972665923
1,0.0,NDY,revenue,9,9571.608521200547,8557.494352461463,11724235.62937643,11494198.845688049
1,0.0,NDY,revenue,10,9571.608521200547,8791.831440860507,4628378.410846377,10895632.08841992
1,0.0,NDY,revenue,11,9571.608521200547,8966.400484768063,11862439.67796295,11086667.531747703
1,0.0,NDY,revenue,12,9571.60852120055,8323.018975758687,12158540.71458182,10363140.599462284
1,0.0,NDY,revenue,13,9571.608521200551,8477.176170244958,12284351.572796404,10691862.855226628
1,0.0,NDY,revenue,14,9571.608521200547,8346.093148181635,12054896.232649067,10579538.636690293
1,0.0,NDY,revenue,15,22506.715444131154,8318.975911842297,30502212.618802957,11136483.257461362
1,0.0,-10%,volume,1,13970.019143800462,13970.019143800462,12235294.491797626,12235294.491797626
1,0.0,-10%,volume,2,12573.017229420417,12573.017229459632,12315938.177567432,12136338.824471882
1,0.0,-10%,volume,3,11315.715506478373,8019.387474795332,11537918.103386682,8050323.500222649
1,0.0,-10%,volume,4,10184.143955830536,1581.8592482224835,11470535.656365069,1754097.423241831
1,0.0,-10%,volume,5,9165.729560247484,11886.978728960363,11403546.728705093,14560325.90875713
1,0.0,-10%,volume,6,8249.156604222728,10856.079074021358,10232608.255963119,13884584.388633616
1,0.0,-10%,volume,7,7424.24094380046,7424.2409413,9093931.28663634,9093931.283573532
1,0.0,-10%,volume,8,6681.816849420415,10131.521471850458,9147391.22528918,14135445.701189045
1,0.0,-10%,volume,9,6013.635164478373,9498.365419517588,7366084.342175435,13101788.23434217
1,0.0,-10%,volume,10,5412.271648030535,6077.335953740829,6937323.708701359,7716724.626506443
1,0.0,-10%,volume,11,4871.044483227482,8869.453884319999,6243591.337831222,10864168.442882864
1,0.0,-10%,volume,12,4383.940034904734,4126.888745469525,5619232.204048101,5124172.992582208
1,0.0,-10%,volume,13,3945.546031414261,10034.627243757644,5057308.9836432915,12291385.925175551
1,0.0,-10%,volume,14,3550.9914282728314,12525.04673234296,4512684.183130333,15860447.429284161
1,0.0,-10%,volume,15,53338.69198855002,11622.909030777628,70005573.3680548,15948796.830702534
1,0.0,-10%,revenue,1,13970.019143800462,16177.703004160436,12235294.491797626,14489703.786328224
1,0.0,-10%,revenue,2,12573.017229420417,14100.74547428147,12315938.177567432,13040733.408437148
1,0.0,-10%,revenue,3,11315.715506478373,4634.63716859047,11537918.103386682,4652515.997085107
1,0.0,-10%,revenue,4,10184.143955830536,11159.673432036783,11470535.656365069,12374776.348371329
1,0.0,-10%,revenue,5,9165.729560247484,8122.965963554174,11403546.728705093,10269944.840945473
1,0.0,-10%,revenue,6,8249.156604222728,2664.054042962309,10232608.255963119,3414722.4077766514
1,0.0,-10%,revenue,7,7424.24094380046,5559.907547942196,9093931.28663634,7119765.106565066
1,0.0,-10%,revenue,8,6681.816849420415,11380.470952531525,9147391.22528918,15771722.975231994
1,0.0,-10%,revenue,9,6013.635164478373,10127.463057141475,7366084.342175435,13646617.236387083
1,0.0,-10%,revenue,10,5412.271648030535,7665.8995991807615,6937323.708701359,9438882.691836126
1,0.0,-10%,revenue,11,4871.044483227482,7508.617929224548,6243591.337831222,9230103.139333008
1,0.0,-10%,revenue,12,4383.940034904734,9781.568227463931,5619232.204048101,12187028.090091513
1,0.0,-10%,revenue,13,3945.546031414261,7440.123482624522,5057308.9836432915,9309708.662620338
1,0.0,-10%,revenue,14,3550.9914282728314,12335.883327333357,4512684.183130333,15543631.880970448
1,0.0,-10%,revenue,15,53338.69198855002,10485.081291591754,70005573.3680548,14684662.74411408
1,0.0,-20%,volume,1,17742.69830427617,17742.69830427617,15680613.666533109,15680613.666533109
1,0.0,-20%,volume,2,14194.158643420938,14194.15864566092,13462599.522950688,13232355.193612523
1,0.0,-20%,volume,3,11355.32691473675,0.0,11602598.227854984,0.0
1,0.0,-20%,volume,4,9084.261531789401,8011.491819832939,10253189.371796358,8883810.094534697
1,0.0,-20%,volume,5,7267.409225431524,11026.176979039647,9060719.868893817,13642859.126702335
1,0.0,-20%,volume,6,5813.927380345218,2333.9700733489008,7166083.691808546,2991628.4654955715
1,0.0,-20%,volume,7,8858.823625098707,11482.127710881214,10851147.46906893,14349782.819764182
1,0.0,-20%,volume,8,10841.360631458478,13402.304494123426,15752309.839614592,18843455.83555072
1,0.0,-20%,volume,9,8673.088505166785,10556.04868339572,10623641.057172844,13864886.944846533
