landbase,discount_rate,flow_window,anchoring,horizon,relax_share,fd_version,ws3_version,max_abs_rel_deviation,mean_abs_rel_deviation,total_projected,total_realized,total_rel_change,occurrence,occurrence_tolerance
1,0.0,2,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.6364422816406295,0.14070269904032914,156509.23474093882,128075.5184812884,-0.1816743676928406,True,0.05
1,0.0,2,realized-history,15,0.06666666666666667,0.1.0b1,1.1.0a5,0.6080870685603991,0.06241130151327377,156509.23474093882,139682.91575881658,-0.10751007127454121,True,0.05
1,0.0,3,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.6364422816248635,0.14070269907048397,156509.2347409388,128075.51847716286,-0.18167436771920017,True,0.05
1,0.0,3,realized-history,15,0.06666666666666667,0.1.0b1,1.1.0a5,0.5968905215506214,0.05782578915234823,156509.2347409388,140486.10493695317,-0.10237817487580099,True,0.05
1,0.02,2,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.2061200125451193,0.06956213666904645,154296.07695279602,143380.81093351773,-0.07074234312916208,True,0.05
1,0.02,2,realized-history,15,0.06666666666666667,0.1.0b1,1.1.0a5,0.15790232525708386,0.03398719586314109,154296.07695279602,148886.74396042305,-0.035058136922222975,False,0.05
1,0.02,3,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.205454245728899,0.06973233790972894,154296.076952796,143355.66432114577,-0.07090531948519493,True,0.05
1,0.02,3,realized-history,15,0.06666666666666667,0.1.0b1,1.1.0a5,0.14683682241785395,0.028213848677355383,154296.076952796,149784.60592199335,-0.029239052086741265,False,0.05
1,0.04,2,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.14039441089636498,0.07438310465245682,153674.2665992299,142243.49754438986,-0.07438310465245657,True,0.05
1,0.04,2,realized-history,15,0.13333333333333333,0.1.0b1,1.1.0a5,0.0712373514601176,0.030819423608547437,153674.2665992299,148938.1142791754,-0.030819423608547163,False,0.05
1,0.04,3,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.14039441146835463,0.07434600992984207,153674.26659922994,142249.19804868236,-0.07434600992984232,True,0.05
1,0.04,3,realized-history,15,0.2,0.1.0b1,1.1.0a5,0.06048109122972092,0.03660198921527564,153674.26659922994,148049.48275049953,-0.03660198921527566,False,0.05
1,0.06,2,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.19563069737116506,0.0735345442803775,152500.60076264248,141286.53858307778,-0.07353454428037748,True,0.05
1,0.06,2,realized-history,15,0.06666666666666667,0.1.0b1,1.1.0a5,0.032596784764012676,0.009167845702224122,152500.60076264248,151102.4988003743,-0.009167845603731324,False,0.05
1,0.06,3,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.195630697371165,0.07353454415683738,152500.60076264248,141286.53860191774,-0.07353454415683727,True,0.05
1,0.06,3,realized-history,15,0.06666666666666667,0.1.0b1,1.1.0a5,0.0325967847640125,0.007225844170848175,152500.60076264248,151398.65520023,-0.007225844074723385,False,0.05
2,0.0,2,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.5643156793214542,0.12016746105488944,187717.36848721,159948.95299824176,-0.14792672469654952,True,0.05
2,0.0,2,realized-history,15,0.13333333333333333,0.1.0b1,1.1.0a5,0.549564528198982,0.10624420963880762,187717.36848721,162572.3023119954,-0.13395172954881832,True,0.05
2,0.0,3,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.5642070046533371,0.12007765280662533,187717.36848721013,159966.03291344238,-0.14783573729704477,True,0.05
2,0.0,3,realized-history,15,0.2,0.1.0b1,1.1.0a5,0.5440071801202861,0.09995029636994403,187717.36848721013,163745.13751836217,-0.12770385160434036,True,0.05
2,0.02,2,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.04937478131029802,0.029378680836266866,182445.42389237217,177085.41801380078,-0.029378680836266716,False,0.05
2,0.02,2,realized-history,15,0.6666666666666666,0.1.0b1,1.1.0a5,0.0458518563405919,0.02758680444419363,182445.42389237217,177412.33766171528,-0.02758680444419366,False,0.05
2,0.02,3,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.049374781310299175,0.02937868083626694,182445.4238923723,177085.41801380084,-0.029378680836267015,False,0.05
2,0.02,3,realized-history,15,0.8,0.1.0b1,1.1.0a5,0.04924988695872678,0.02925007289056068,182445.4238923723,177108.8819449712,-0.029250072890560513,False,0.05
2,0.04,2,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.041042377009311445,0.027732792270240433,181935.56947675959,176889.9881218927,-0.027732792270240496,False,0.05
2,0.04,2,realized-history,15,0.8,0.1.0b1,1.1.0a5,0.0380885717749701,0.025686012336196946,181935.56947675959,177262.3701947865,-0.02568601233619712,False,0.05
2,0.04,3,within-plan,15,0.0,0.1.0b1,1.1.0a5,0.04104237700931084,0.027732792270186886,181935.56947675959,176889.9881219024,-0.02773279227018723,False,0.05
